"ENSEMBL","SYMBOL","sexBias","KDM5C_binding","Promo_CGI","seqnames","start","end","gene_name","TSS","pvalue","qvalue","meth.diff"
"ENSMUSG00000028637","Ccdc30","XY","Unbound","CGI","chr4",119415022,119416021,"Ccdc30",119415521,0.950933542705699,0.726368329643162,-0.07045099493935
"ENSMUSG00000028678","Kif2c","unbiased","Unbound","no","chr4",117182140,117183139,"Kif2c",117182639,0.0242006752072131,0.0694061627681617,-2.7634168157424
"ENSMUSG00000028706","Nsun4","unbiased","Unbound","CGI","chr4",116053377,116054376,"Nsun4",116053876,0.199315930991283,0.313721092619005,1.57370662317659
"ENSMUSG00000028750","Pla2g2c","XY","Bound","no","chr4",138724293,138725292,"Pla2g2c",138724792,0.29048772043028,0.392473045527921,-3.32659275544634
"ENSMUSG00000028753","Vwa5b1","XY","Unbound","no","chr4",138635385,138636384,"Vwa5b1",138635884,0.0505691239874265,0.127095636914201,9.17843388960206
"ENSMUSG00000028758","Kif17","XY","Unbound","CGI","chr4",138249936,138250935,"Kif17",138250435,0.152886046068803,0.268685585633182,-1.90704347355314
"ENSMUSG00000028793","Rnf19b","unbiased","Unbound","CGI","chr4",129057772,129058771,"Rnf19b",129058271,0.471394244654727,0.517628146306809,0.486948339194037
"ENSMUSG00000028813","CK137956","XY","Unbound","no","chr4",127970452,127971451,"CK137956",127970951,0.0891012391444663,0.185122574527763,-8.1095041322314
"ENSMUSG00000028845","Tekt2","XY","Unbound","no","chr4",126325189,126326188,"Tekt2",126325688,0.68257875364453,0.621716045437717,1.5898411165112
"ENSMUSG00000028938","Galntl5","XY","Unbound","no","chr5",25180961,25181960,"Galntl5",25181460,0.0871869717114345,0.183044223986263,-2.56410256410257
"ENSMUSG00000028950","Tas1r1","XY","Unbound","no","chr4",152038069,152039068,"Tas1r1",152038568,0.336629133313073,0.427229250508717,4.1112375996097
"ENSMUSG00000029003","Mad2l2","XY","Unbound","CGI","chr4",148129885,148130884,"Mad2l2",148130384,0.000222138049950213,0.00137541627556303,14.1768161008897
"ENSMUSG00000029044","4930584F24Rik","XY","Unbound","no","chr5",26492815,26493814,"4930584F24Rik",26493314,0.409643001235659,0.481007110302435,2.43827160493827
"ENSMUSG00000029074","Ttll10","XY","Unbound","no","chr4",156058915,156059914,"Ttll10",156059414,7.51873139493425e-12,2.00846689152992e-10,-28.9103758931345
"ENSMUSG00000029130","Rnf32","XY","Bound","CGI","chr5",29195493,29196492,"Rnf32",29195992,0.63097647383563,0.597962853096788,-0.636448163644816
"ENSMUSG00000029138","4930548H24Rik","unbiased","Unbound","no","chr5",31485241,31486240,"4930548H24Rik",31485740,0.513717422325056,0.544416996976263,-1.93123808352298
"ENSMUSG00000029155","Spata18","XY","Unbound","CGI","chr5",73650880,73651879,"Spata18",73651379,0.569546653781611,0.564086182524675,1.10504593263214
"ENSMUSG00000029165","Agbl5","XY","Bound","CGI","chr5",30888195,30889194,"Agbl5",30888694,0.110248170245317,0.213851599771713,-1.42010335393657
"ENSMUSG00000029206","Nsun7","XY","Unbound","CGI","chr5",66259398,66260397,"Nsun7",66259897,0.0131933093258768,0.0435868476711696,-6.91644401263056
"ENSMUSG00000029235","Pdcl2","XY","Unbound","no","chr5",76330657,76331656,"Pdcl2",76331156,0.293466074525271,0.395924903552977,-2.72099634493028
"ENSMUSG00000029279","Brdt","XY","Bound","CGI","chr5",107330660,107331659,"Brdt",107331159,9.12038473513103e-05,0.000631636970507842,-9.7578231292517
"ENSMUSG00000029320","1700016H13Rik","XY","Bound","CGI","chr5",103655511,103656510,"1700016H13Rik",103656010,0.0772079225813663,0.167483777780854,3.65157926552819
"ENSMUSG00000029423","Piwil1","XY","Bound","CGI","chr5",128702025,128703024,"Piwil1",128702524,0.208700094617129,0.323029801643215,2.71164021164021
"ENSMUSG00000029437","Il31","XY","Unbound","no","chr5",123488990,123489989,"Il31",123489489,0.124807535125817,0.234786201069968,4.67913385826771
"ENSMUSG00000029477","Morn3","XY","Unbound","no","chr5",123046517,123047516,"Morn3",123047016,0.415458872170195,0.48493515943547,-1.58094651473154
"ENSMUSG00000029517","Ankrd7","XY","Unbound","no","chr6",18865819,18866818,"Ankrd7",18866318,0.00650583259999611,0.0259941235196254,6.43973941368078
"ENSMUSG00000029526","1700123K08Rik","XY","Unbound","no","chr5",138564213,138565212,"1700123K08Rik",138564712,0.760215698136906,0.653876065341104,-1.04980842911877
"ENSMUSG00000029564","4930519G04Rik","XY","Unbound","no","chr5",114853165,114854164,"4930519G04Rik",114853664,0.3111236271634,0.410819112816398,-2.52949852507375
"ENSMUSG00000029601","Iqcd","XY","Unbound","no","chr5",120588517,120589516,"Iqcd",120589016,1.08080350516589e-06,1.16149044976379e-05,8.99737229416864
"ENSMUSG00000029607","Ankrd61","XY","Unbound","no","chr5",143897186,143898185,"Ankrd61",143897685,3.71957582478032e-05,0.000297141193733423,7.97509983556495
"ENSMUSG00000029620","1700018F24Rik","XY","Unbound","no","chr5",145042491,145043490,"1700018F24Rik",145042990,0.0168815319503653,0.0527872233142736,6.31067961165048
"ENSMUSG00000029678","Hyal5","XY","Unbound","no","chr6",24857498,24858497,"Hyal5",24857997,0.13064106661529,0.243770734751259,14.2857142857143
"ENSMUSG00000029679","Hyal6","XY","Unbound","no","chr6",24732746,24733745,"Hyal6",24733245,0.161537233105272,0.279683619457987,6.44280644280644
"ENSMUSG00000029682","Spam1","XY","Unbound","no","chr6",24790689,24791688,"Spam1",24791188,0.212346850374619,0.324713415214521,-12.6262626262626
"ENSMUSG00000029707","Fscn3","XY","Unbound","no","chr6",28427290,28428289,"Fscn3",28427789,0.0380871911724708,0.101451852281329,5.70414986473381
"ENSMUSG00000029736","Nobox","XX","Unbound","no","chr6",43309055,43310054,"Nobox",43309554,0.875155182411245,0.696362464508791,-0.394963711455953
"ENSMUSG00000029766","1700012A03Rik","XY","Unbound","no","chr6",32049747,32050746,"1700012A03Rik",32050246,0.148297401781016,0.264663231216178,-4.1958041958042
"ENSMUSG00000029769","Ccdc136","XY","Unbound","CGI","chr6",29395810,29396809,"Ccdc136",29396309,0.828918115285761,0.678996687964915,-0.418784114436288
"ENSMUSG00000029788","Cpa5","XY","Unbound","no","chr6",30610511,30611510,"Cpa5",30611010,0.386432134731754,0.462605030985543,2.16619934989206
"ENSMUSG00000029828","4921507P07Rik","XY","Bound","CGI","chr6",50596133,50597132,"4921507P07Rik",50596632,0.169947511314643,0.287836569930253,-2.86763854185627
"ENSMUSG00000029848","Stra8","XX","Unbound","CGI","chr6",34919664,34920663,"Stra8",34920163,0.00557800627937063,0.023281938186262,-13.3948356170578
"ENSMUSG00000029909","Prss37","XY","Unbound","no","chr6",40519009,40520008,"Prss37",40519508,0.192204438187525,0.306657751553717,4.22939068100359
"ENSMUSG00000030001","Figla","XX","Unbound","no","chr6",86015672,86016671,"Figla",86016171,0.065412190015589,0.149528347233779,4.09373235460192
"ENSMUSG00000030030","1700003E16Rik","XY","Unbound","CGI","chr6",83155905,83156904,"1700003E16Rik",83156404,0.69503374840769,0.624788881518474,0.591425152735445
"ENSMUSG00000030032","Wdr54","XY","Unbound","no","chr6",83155898,83156897,"Wdr54",83156397,0.69503374840769,0.624788881518474,0.591425152735445
"ENSMUSG00000030051","Aplf","unbiased","Unbound","no","chr6",87671694,87672693,"Aplf",87672193,0.22895671770541,0.336576993056552,-2.01308394801545
"ENSMUSG00000030069","Prok2","XY","Bound","CGI","chr6",99725893,99726892,"Prok2",99726392,0.212457329906128,0.324713415214521,-1.82868173670422
"ENSMUSG00000030077","Chl1","XY","Unbound","no","chr6",103510087,103511086,"Chl1",103510586,0.365110786674854,0.446222412551985,-3.46707000638911
"ENSMUSG00000030200","Bcl2l14","XY","Unbound","no","chr6",134395819,134396818,"Bcl2l14",134396318,0.148434108852884,0.264663231216178,-6.21041879468845
"ENSMUSG00000030206","Gsg1","XY","Unbound","no","chr6",135253852,135254851,"Gsg1",135254351,0.0167383237659362,0.0525150582257156,16.1540214171793
"ENSMUSG00000030216","Wbp11","unbiased","Unbound","no","chr6",136827734,136828733,"Wbp11",136828233,0.271862196614331,0.377117838902715,-0.797474699000757
"ENSMUSG00000030230","Plcz1","XY","Unbound","no","chr6",140040958,140041957,"Plcz1",140041457,0.203496558314574,0.318158870267845,2.8498727735369
"ENSMUSG00000030301","Ccdc91","XY","Bound","CGI","chr6",147475329,147476328,"Ccdc91",147475828,6.56073688497525e-09,1.22679152742083e-07,-17.378554665784
"ENSMUSG00000030323","Ift122","unbiased","Unbound","no","chr6",115852971,115853970,"Ift122",115853470,0.477645209155947,0.522686870337407,-0.609703735508802
"ENSMUSG00000030344","Akap3","XY","Unbound","no","chr6",126852599,126853598,"Akap3",126853098,0.76225082979278,0.654469257054115,2.02991452991453
"ENSMUSG00000030345","Dyrk4","XY","Unbound","no","chr6",126921340,126922339,"Dyrk4",126921839,2.67473423777238e-05,0.000225292020245893,-16.795302709656
"ENSMUSG00000030385","2900092C05Rik","XY","Unbound","no","chr7",12512018,12513017,"2900092C05Rik",12512517,0.299902387749263,0.401004168186416,5.8119658119658
"ENSMUSG00000030463","4933421I07Rik","XY","Unbound","no","chr7",42447621,42448620,"4933421I07Rik",42448120,0.937280820905345,0.721242987762389,0.17383512544803
"ENSMUSG00000030491","Tdrd12","XY","Bound","CGI","chr7",35537246,35538245,"Tdrd12",35537745,1.60242864793369e-37,1.87273731884777e-35,-38.6125211505922
"ENSMUSG00000030544","Mesp1","XY","Bound","CGI","chr7",79793289,79794288,"Mesp1",79793788,0.00211603932312184,0.0106939994402489,-12.0095146948143
"ENSMUSG00000030556","Lrrc28","XY","Unbound","CGI","chr7",67644769,67645768,"Lrrc28",67645268,0.430109753593807,0.495235094698747,-0.687281989510402
"ENSMUSG00000030617","Ccdc83","XY","Bound","no","chr7",90265278,90266277,"Ccdc83",90265777,0.717168357044811,0.632562446427176,1.06958924758196
"ENSMUSG00000030708","Dnajb13","XY","Unbound","no","chr7",100514461,100515460,"Dnajb13",100514960,0.000418797252041312,0.00238752609318453,-12.766673248934
"ENSMUSG00000030792","Dkkl1","XY","Unbound","no","chr7",45211648,45212647,"Dkkl1",45212147,0.515331624784736,0.544416996976263,-1.23192627113581
"ENSMUSG00000030815","Phkg2","XY","Unbound","no","chr7",127572841,127573840,"Phkg2",127573340,0.282541180542797,0.388281761968704,-1.4302078219604
"ENSMUSG00000030851","Ldhc","XY","Unbound","no","chr7",46860704,46861703,"Ldhc",46861203,0.088404700171488,0.184592349948817,-6.652410125997
"ENSMUSG00000030859","Fam24a","XY","Unbound","no","chr7",131333365,131334364,"Fam24a",131333864,0.00242482590376189,0.0119320513371718,12.4532616421001
"ENSMUSG00000030887","Pdzd9","XY","Unbound","no","chr7",120669844,120670843,"Pdzd9",120670343,0.181780946700449,0.297000410230863,4.86518915866742
"ENSMUSG00000030889","Vwa3a","XY","Unbound","no","chr7",120738819,120739818,"Vwa3a",120739318,0.684187439613112,0.621716045437717,-1.64357311320755
"ENSMUSG00000030968","Pdilt","XY","Unbound","no","chr7",119522990,119523989,"Pdilt",119523489,0.060028761292373,0.141898863239118,9.13461538461539
"ENSMUSG00000030994","D7Ertd443e","XY","Unbound","no","chr7",134385162,134386161,"D7Ertd443e",134385661,0.106216481119437,0.209067463953538,3.39669738863287
"ENSMUSG00000031027","Stk33","XY","Bound","CGI","chr7",109438582,109439581,"Stk33",109439081,1.34712833161988e-06,1.41516511604513e-05,-8.35635635635636
"ENSMUSG00000031181","Ctag2","XY","Unbound","no","chrX",65047145,65048144,"Ctag2",65047644,0.732418949802445,0.63997638056938,1.375
"ENSMUSG00000031233","Pgk2","XY","Unbound","no","chr17",40208141,40209140,"Pgk2",40208640,0.820578921989416,0.678937919186024,0.600431560183878
"ENSMUSG00000031325","4930519F16Rik","XY","Unbound","no","chrX",103311283,103312282,"4930519F16Rik",103311782,0.306117775097637,0.40654070912301,-10.8329321136254
"ENSMUSG00000031330","Zcchc13","XY","Unbound","no","chrX",103630087,103631086,"Zcchc13",103630586,0.00661792219022327,0.0261322478435209,11.4503709136039
"ENSMUSG00000031397","Tktl1","unbiased","Unbound","no","chrX",74176760,74177759,"Tktl1",74177259,0.261634749632568,0.366190534476358,3.37951903169295
"ENSMUSG00000031452","1700029H14Rik","XY","Unbound","no","chr8",13561962,13562961,"1700029H14Rik",13562461,0.0450132411183532,0.117228710444692,6.82457813056414
"ENSMUSG00000031481","Tpte","XY","Unbound","no","chr8",22282942,22283941,"Tpte",22283441,0.0194455546415227,0.0586471338422727,7.00900280120437
"ENSMUSG00000031493","Ggn","XY","Unbound","no","chr7",29169711,29170710,"Ggn",29170210,0.519926163687653,0.547415207377028,-0.682146642258406
"ENSMUSG00000031509","1700016D06Rik","XY","Unbound","no","chr8",11700564,11701563,"1700016D06Rik",11701063,0.00573418914804865,0.023686102353554,7.63613746420624
"ENSMUSG00000031518","Spata4","XY","Unbound","no","chr8",54600282,54601281,"Spata4",54600781,0.179278564890033,0.295099302287336,-4.29278642149929
"ENSMUSG00000031552","Adam18","XY","Unbound","no","chr8",24674256,24675255,"Adam18",24674755,0.0554299192588376,0.135311161922041,5.59587471352178
"ENSMUSG00000031553","Adam3","XY","Unbound","no","chr8",24725353,24726352,"Adam3",24725852,0.534544309888887,0.552720152708514,1.32920062222841
"ENSMUSG00000031554","Adam5","XY","Unbound","no","chr8",24823870,24824869,"Adam5",24824369,0.0651796305531363,0.149361918300612,5.87207049015653
"ENSMUSG00000031576","Kcnu1","XY","Unbound","no","chr8",25849124,25850123,"Kcnu1",25849623,0.428043705855492,0.49346392923046,-1.40016570008284
"ENSMUSG00000031637","Lrp2bp","XY","Unbound","no","chr8",45998804,45999803,"Lrp2bp",45999303,5.15503184451184e-07,5.95024002404312e-06,-13.5068365917535
"ENSMUSG00000031651","Triml1","XY","Unbound","no","chr8",43140987,43141986,"Triml1",43141486,0.354700810871202,0.436926671913316,2.02667590507536
"ENSMUSG00000031682","1700011L22Rik","XY","Unbound","no","chr8",79248071,79249070,"1700011L22Rik",79248570,0.210551402890554,0.323242902780675,-1.64449371766445
"ENSMUSG00000031727","Pmfbp1","XY","Unbound","no","chr8",109493528,109494527,"Pmfbp1",109494027,0.149801521597664,0.265245968207694,2.976011994003
"ENSMUSG00000031787","Katnb1","unbiased","Unbound","CGI","chr8",95080687,95081686,"Katnb1",95081186,0.343379102085387,0.431508223213635,-0.766654561594642
"ENSMUSG00000031809","1700018B08Rik","XY","Bound","no","chr8",121543821,121544820,"1700018B08Rik",121544320,0.313786834732336,0.411465417468161,-1.67589405955409
"ENSMUSG00000031847","1700030J22Rik","XY","Unbound","CGI","chr8",116978460,116979459,"1700030J22Rik",116978959,0.811594034921943,0.675088463571437,0.280470313085265
"ENSMUSG00000031849","Comp","XY","Unbound","CGI","chr8",70373059,70374058,"Comp",70373558,0.00704046454006066,0.0273131899001641,-4.9338146811071
"ENSMUSG00000031860","Pbx4","XY","Bound","CGI","chr8",69831992,69832991,"Pbx4",69832491,0.439765078841512,0.501818700798071,2.00054913322161
"ENSMUSG00000031893","Tsnaxip1","XY","Unbound","no","chr8",105827232,105828231,"Tsnaxip1",105827731,0.679296448912973,0.619617435933825,0.388278388278389
"ENSMUSG00000031898","Dpep3","XY","Unbound","CGI","chr8",105978930,105979929,"Dpep3",105979429,7.03446831306452e-05,0.000498247923980145,-4.5611762972384
"ENSMUSG00000031927","1700012B09Rik","XY","Unbound","no","chr9",14770531,14771530,"1700012B09Rik",14771030,0.107231926040474,0.210622762802527,4.85546784304621
"ENSMUSG00000031991","Spata19","XY","Unbound","no","chr9",27396301,27397300,"Spata19",27396800,0.132617975904515,0.246503199986383,4.31818181818182
"ENSMUSG00000032010","Usp2","XY","Bound","CGI","chr9",44066522,44067521,"Usp2",44067021,0.0887874145805896,0.184881399599096,2.52690100430416
"ENSMUSG00000032021","Crtam","XY","Unbound","no","chr9",41004129,41005128,"Crtam",41004628,0.090214259231238,0.186346566850304,10.8732876712329
"ENSMUSG00000032056","Btg4","unbiased","Unbound","no","chr9",51060402,51061401,"Btg4",51060901,0.0184192511185878,0.056194197626932,7.34767025089605
"ENSMUSG00000032065","Tex12","unbiased","Bound","CGI","chr9",50560826,50561825,"Tex12",50561325,3.25225557177491e-05,0.000269088026927225,-8.95324643534667
"ENSMUSG00000032110","Acrv1","XY","Unbound","no","chr9",36692721,36693720,"Acrv1",36693220,1,0.74676477232388,0
"ENSMUSG00000032274","Cyp19a1","XX","Unbound","no","chr9",54267611,54268610,"Cyp19a1",54268110,0.540996143745737,0.552720152708514,1.35055152004304
"ENSMUSG00000032285","Dnaja4","unbiased","Bound","CGI","chr9",54698374,54699373,"Dnaja4",54698873,2.86303970726325e-07,3.61729395719747e-06,-14.5913624366431
"ENSMUSG00000032396","Dis3l","XY","Bound","CGI","chr9",64340789,64341788,"Dis3l",64341288,0.339283661065998,0.428522531567754,-2.26981869889797
"ENSMUSG00000032451","Trim42","XY","Unbound","no","chr9",97369459,97370458,"Trim42",97369958,0.372314639013834,0.45090075609882,1.93732633528867
"ENSMUSG00000032489","Kif9","XY","Unbound","no","chr9",110476459,110477458,"Kif9",110476958,0.0926497493129402,0.190799198958879,1.99266194331984
"ENSMUSG00000032493","Prss44","XY","Unbound","no","chr9",110813495,110814494,"Prss44",110813994,0.000205676032912719,0.00129930204793894,-19.8409312530473
"ENSMUSG00000032497","Lrrfip2","unbiased","Bound","CGI","chr9",111117093,111118092,"Lrrfip2",111117592,0.012611781124721,0.0428400820511578,5.59049663001665
"ENSMUSG00000032512","Wdr48","unbiased","Unbound","CGI","chr9",119894379,119895378,"Wdr48",119894878,0.0213646076602231,0.0638173455007022,-5.08052721938103
"ENSMUSG00000032514","Ttc21a","XY","Bound","CGI","chr9",119937107,119938106,"Ttc21a",119937606,0.695658138941359,0.624788881518474,0.623856009762051
"ENSMUSG00000032530","Lyzl4","XY","Bound","no","chr9",121641597,121642596,"Lyzl4",121642096,0.189693331563564,0.304208721339008,-1.79751266913342
"ENSMUSG00000032534","Cep63","XY","Bound","CGI","chr9",102626035,102627034,"Cep63",102626534,0.627741508540396,0.596449803220202,0.732291924952475
"ENSMUSG00000032567","Aste1","XY","Unbound","no","chr9",105394893,105395892,"Aste1",105395392,0.0491998353402766,0.125338858863733,2.14437998909217
"ENSMUSG00000032595","Cdhr4","unbiased","Unbound","no","chr9",107991998,107992997,"Cdhr4",107992497,0.391867431139884,0.466384615789987,3.39861751152074
"ENSMUSG00000032611","1700102P08Rik","XY","Unbound","no","chr9",108392306,108393305,"1700102P08Rik",108392805,6.00517991352648e-15,2.33939163634685e-13,-21.2068145998549
"ENSMUSG00000032671","A930018P22Rik","XY","Unbound","CGI","chr2",104122270,104123269,"A930018P22Rik",104122769,0.0493727863411464,0.125422280086902,-3.45988862131246
"ENSMUSG00000032680","6820408C15Rik","XY","Unbound","no","chr2",152415088,152416087,"6820408C15Rik",152415587,0.000867155936049606,0.00458049155057649,-15.7775608024143
"ENSMUSG00000032818","Loxhd1","XY","Unbound","no","chr18",77281459,77282458,"Loxhd1",77281958,0.894513247025991,0.704691470290408,0.342813610970039
"ENSMUSG00000032852","Rspo4","XY","Unbound","CGI","chr2",151842428,151843427,"Rspo4",151842927,0.0514882560902091,0.128370450739657,6.32444566611691
"ENSMUSG00000032869","Psmf1","XY","Unbound","CGI","chr2",151743687,151744686,"Psmf1",151744186,0.00669360555711286,0.026184866673698,11.6371001992878
"ENSMUSG00000032892","Rangrf","XY","Unbound","no","chr11",68974686,68975685,"Rangrf",68975185,0.0986808895039903,0.198907256956128,-3.88503165203186
"ENSMUSG00000032894","1700031F05Rik","XY","Unbound","no","chrX",102867472,102868471,"1700031F05Rik",102867971,0.0130439714425416,0.043319844796309,12.5
"ENSMUSG00000032921","Odf4","XY","Unbound","no","chr11",68926582,68927581,"Odf4",68927081,0.982892626802861,0.740495539902433,-0.0634920634920544
"ENSMUSG00000032948","Lipi","XX","Unbound","no","chr16",75585562,75586561,"Lipi",75586061,0.223858697400471,0.335411179606767,4.27026600363092
"ENSMUSG00000033255","Gm5134","XY","Unbound","no","chr10",75954015,75955014,"Gm5134",75954514,5.79845817958595e-10,1.35531638662242e-08,-17.5980978174624
"ENSMUSG00000033276","Stk36","XY","Unbound","CGI","chr1",74600946,74601945,"Stk36",74601445,0.410484194464271,0.481007110302435,1.26327497676403
"ENSMUSG00000033343","Magea4","unbiased","Unbound","no","chrX",72221518,72222517,"Magea4",72222017,0.780514227305454,0.662798712643171,2.32258064516129
"ENSMUSG00000033368","Trim69","XY","Unbound","no","chr2",122160201,122161200,"Trim69",122160700,0.0225563703336204,0.0656980281972342,10.0940785832872
"ENSMUSG00000033409","Syce1l","XY","Unbound","no","chr8",113642714,113643713,"Syce1l",113643213,0.0819999953341147,0.173845474429686,3.17679680371364
"ENSMUSG00000033486","Catsper2","XY","Unbound","no","chr2",121413293,121414292,"Catsper2",121413792,0.75300243629453,0.651869673619733,-0.284595569294178
"ENSMUSG00000033701","Acbd6","unbiased","Unbound","CGI","chr1",155557621,155558620,"Acbd6",155558120,0.000407538029704923,0.00233759187144375,-9.28254734094432
"ENSMUSG00000033739","Fkbpl","unbiased","Unbound","no","chr17",34644265,34645264,"Fkbpl",34644764,0.276134711300925,0.382477050176037,2.92988059928511
"ENSMUSG00000033760","Rbm4b","unbiased","Unbound","CGI","chr19",4755998,4756997,"Rbm4b",4756497,0.971085364465546,0.736346935166189,0.0376109523093124
"ENSMUSG00000033794","Lpcat2b","XY","Unbound","no","chr5",107431050,107432049,"Lpcat2b",107431549,0.064831338734587,0.149295634006901,-6.03467486740652
"ENSMUSG00000033837","Foxh1","unbiased","Unbound","no","chr15",76669449,76670448,"Foxh1",76669948,0.474913828897355,0.520539794222877,-2.31013654710446
"ENSMUSG00000033949","Trim36","XY","Unbound","CGI","chr18",46212108,46213107,"Trim36",46212607,0.0190179188817415,0.0575430215322808,6.59388393374261
"ENSMUSG00000033983","Coil","XY","Unbound","CGI","chr11",88969753,88970752,"Coil",88970252,0.750418234989163,0.650907293811648,-2.73889227023737
"ENSMUSG00000034063","4930590J08Rik","XY","Unbound","no","chr6",91902310,91903309,"4930590J08Rik",91902809,0.0738649095632575,0.1613550464735,4.37534022863364
"ENSMUSG00000034151","Zbbx","XY","Unbound","no","chr3",75164535,75165534,"Zbbx",75165034,0.526083822556855,0.549566261676685,-2.53852392538524
"ENSMUSG00000034212","Ankmy1","XY","Unbound","no","chr1",92902407,92903406,"Ankmy1",92902906,0.183292506845479,0.297000410230863,3.20597142769739
"ENSMUSG00000034239","Gm884","XY","Unbound","no","chr11",103620641,103621640,"Gm884",103621140,0.0222139526787236,0.065106344319137,5.41121526841112
"ENSMUSG00000034391","Fbxo15","unbiased","Unbound","CGI","chr18",84934283,84935282,"Fbxo15",84934782,2.91507494230032e-07,3.63393046005816e-06,24.0723711435008
"ENSMUSG00000034401","Spata6","XY","Unbound","CGI","chr4",111719485,111720484,"Spata6",111719984,0.00812617885693808,0.0301490746752522,14.3701951507983
"ENSMUSG00000034552","Zswim2","XY","Unbound","no","chr2",83940729,83941728,"Zswim2",83941228,0.104746272274447,0.207045400340035,-7.1078431372549
"ENSMUSG00000034623","Prss55","XY","Unbound","no","chr14",64089663,64090662,"Prss55",64090162,0.58539942860293,0.574311542619133,3.23911382734912
"ENSMUSG00000034683","Ppp1r1c","XY","Unbound","no","chr2",79707281,79708280,"Ppp1r1c",79707780,0.524396926173238,0.54927539765179,-1.67950300821134
"ENSMUSG00000034731","Dgkh","unbiased","Bound","CGI","chr14",78732277,78733276,"Dgkh",78732776,0.00336366109995103,0.0156460360526392,3.72511937627256
"ENSMUSG00000034813","Grip1","XY","Bound","CGI","chr10",119453331,119454330,"Grip1",119453830,0.342465654353336,0.430939556628804,0.942355889724311
"ENSMUSG00000035032","Nek11","unbiased","Bound","CGI","chr9",105395025,105396024,"Nek11",105395524,0.0373156480973816,0.100253581443563,2.33345967971193
"ENSMUSG00000035202","Lars2","unbiased","Unbound","CGI","chr9",123366428,123367427,"Lars2",123366927,0.401644426335257,0.47594075228318,1.41666636511997
"ENSMUSG00000035211","Xrra1","XY","Bound","CGI","chr7",99858617,99859616,"Xrra1",99859116,0.454943595340659,0.512573300984677,0.757026737504644
"ENSMUSG00000035270","Impg2","XY","Unbound","no","chr16",56203814,56204813,"Impg2",56204313,0.626156357908565,0.596155367195549,-1.4732445247234
"ENSMUSG00000035295","Wdr38","XY","Bound","no","chr2",38996977,38997976,"Wdr38",38997476,0.172663168586472,0.290867283362706,-4.02173562860426
"ENSMUSG00000035298","Klhl35","unbiased","Bound","CGI","chr7",99465505,99466504,"Klhl35",99466004,0.967677366949668,0.735221910491407,0.263157894736843
"ENSMUSG00000035420","Fam170a","XY","Unbound","no","chr18",50277870,50278869,"Fam170a",50278369,0.0254930357099303,0.0724458992757716,-4.5530492898914
"ENSMUSG00000035435","Abca17","XY","Unbound","no","chr17",24350569,24351568,"Abca17",24351068,0.458504756296423,0.512573300984677,-2.67086927670869
"ENSMUSG00000035522","Tsga8","XY","Unbound","no","chrX",83487425,83488424,"Tsga8",83487924,0.461199837981084,0.513331613799053,2.23110223110222
"ENSMUSG00000035578","Iqcg","XY","Unbound","no","chr16",33055719,33056718,"Iqcg",33056218,0.0114485323429078,0.0400891368236504,-4.96582571686122
"ENSMUSG00000035580","Kcnh8","XY","Unbound","no","chr17",52602210,52603209,"Kcnh8",52602709,0.000169642325347021,0.00110143754448094,10.8700718934328
"ENSMUSG00000035582","Gdpd4","XY","Unbound","no","chr7",97919456,97920455,"Gdpd4",97919955,8.41765236662716e-23,5.24671988589234e-21,-24.3866279346032
"ENSMUSG00000035594","Chrna5","XY","Unbound","CGI","chr9",54980381,54981380,"Chrna5",54980880,0.59539538509817,0.577507162452274,-1.73259235044132
"ENSMUSG00000035651","4930480E11Rik","XY","Unbound","no","chrX",78369144,78370143,"4930480E11Rik",78369643,0.567650284534096,0.563282427977358,-9.84848484848484
"ENSMUSG00000035785","Cmtm2b","XY","Unbound","no","chr8",104321731,104322730,"Cmtm2b",104322230,0.856208367537403,0.689501792248603,-0.275555555555562
"ENSMUSG00000035831","Krt25","XY","Unbound","no","chr11",99322452,99323451,"Krt25",99322951,0.179756777406669,0.295366446836756,-1.68011958146487
"ENSMUSG00000035890","Rnf126","unbiased","Unbound","CGI","chr10",79766453,79767452,"Rnf126",79766952,0.214406342739079,0.326480621918357,1.48166744314602
"ENSMUSG00000036013","Fam122c","XY","Unbound","no","chrX",53272925,53273924,"Fam122c",53273424,0.477990818276898,0.522686870337407,5.00821018062397
"ENSMUSG00000036168","Ccdc38","XY","Unbound","no","chr10",93540133,93541132,"Ccdc38",93540632,0.312426740738797,0.411016014587291,-4.97241155469004
"ENSMUSG00000036244","Tbc1d21","XY","Unbound","no","chr9",58369956,58370955,"Tbc1d21",58370455,0.407793069206598,0.479579778740395,-3.27293980128579
"ENSMUSG00000036251","Trpm8","XY","Bound","CGI","chr1",88277162,88278161,"Trpm8",88277661,0.109396169397276,0.213083111098735,2.58057202085965
"ENSMUSG00000036398","Ppp1r11","XY","Unbound","no","chr17",36951242,36952241,"Ppp1r11",36951741,0.860726063991615,0.69075999898612,0.477050025786488
"ENSMUSG00000036401","Glt6d1","XY","Unbound","no","chr2",25815349,25816348,"Glt6d1",25815848,0.505613362223431,0.53840883559284,-3.2051282051282
"ENSMUSG00000036411","9530077C05Rik","XY","Unbound","CGI","chr9",22411014,22412013,"9530077C05Rik",22411513,0.350260554481867,0.435473309193554,1.18490885885072
"ENSMUSG00000036432","Siah2","XY","Unbound","CGI","chr3",58691901,58692900,"Siah2",58692400,0.876463770857317,0.696810680190969,-0.246217302552663
