"Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"EpiLC only","GO:0006364","rRNA processing","67/3551","214/22893",4.78889015036288e-09,6.70657460613041e-07,4.96924367415432e-07,"ENSMUSG00000061024/ENSMUSG00000026234/ENSMUSG00000026377/ENSMUSG00000001674/ENSMUSG00000016181/ENSMUSG00000020075/ENSMUSG00000032977/ENSMUSG00000061032/ENSMUSG00000004356/ENSMUSG00000063334/ENSMUSG00000020430/ENSMUSG00000000581/ENSMUSG00000018921/ENSMUSG00000010554/ENSMUSG00000038335/ENSMUSG00000020677/ENSMUSG00000018405/ENSMUSG00000020706/ENSMUSG00000018433/ENSMUSG00000061458/ENSMUSG00000025290/ENSMUSG00000022204/ENSMUSG00000022300/ENSMUSG00000022313/ENSMUSG00000005846/ENSMUSG00000022672/ENSMUSG00000036983/ENSMUSG00000116564/ENSMUSG00000058392/ENSMUSG00000023971/ENSMUSG00000023988/ENSMUSG00000041057/ENSMUSG00000038299/ENSMUSG00000049950/ENSMUSG00000052406/ENSMUSG00000017999/ENSMUSG00000028010/ENSMUSG00000028187/ENSMUSG00000058006/ENSMUSG00000028322/ENSMUSG00000028495/ENSMUSG00000044303/ENSMUSG00000017264/ENSMUSG00000028948/ENSMUSG00000067367/ENSMUSG00000070697/ENSMUSG00000035266/ENSMUSG00000060152/ENSMUSG00000029480/ENSMUSG00000025337/ENSMUSG00000035378/ENSMUSG00000030138/ENSMUSG00000040952/ENSMUSG00000046865/ENSMUSG00000003423/ENSMUSG00000031578/ENSMUSG00000031527/ENSMUSG00000014907/ENSMUSG00000031683/ENSMUSG00000036779/ENSMUSG00000109941/ENSMUSG00000053289/ENSMUSG00000041506/ENSMUSG00000025794/ENSMUSG00000025785/ENSMUSG00000031403/ENSMUSG00000025264",67
"EpiLC only","GO:0045930","negative regulation of mitotic cell cycle","70/3551","229/22893",6.69919286583606e-09,9.17789422619541e-07,6.80037060705922e-07,"ENSMUSG00000026107/ENSMUSG00000026176/ENSMUSG00000057329/ENSMUSG00000004031/ENSMUSG00000019768/ENSMUSG00000019773/ENSMUSG00000019923/ENSMUSG00000001786/ENSMUSG00000020020/ENSMUSG00000045867/ENSMUSG00000020185/ENSMUSG00000056758/ENSMUSG00000025374/ENSMUSG00000020413/ENSMUSG00000069910/ENSMUSG00000050107/ENSMUSG00000020692/ENSMUSG00000020541/ENSMUSG00000039055/ENSMUSG00000051455/ENSMUSG00000044548/ENSMUSG00000076430/ENSMUSG00000052957/ENSMUSG00000041431/ENSMUSG00000021835/ENSMUSG00000007989/ENSMUSG00000022018/ENSMUSG00000022369/ENSMUSG00000022672/ENSMUSG00000022863/ENSMUSG00000045409/ENSMUSG00000024056/ENSMUSG00000045817/ENSMUSG00000024151/ENSMUSG00000024283/ENSMUSG00000005871/ENSMUSG00000034653/ENSMUSG00000024537/ENSMUSG00000024922/ENSMUSG00000074922/ENSMUSG00000017412/ENSMUSG00000003604/ENSMUSG00000040084/ENSMUSG00000027641/ENSMUSG00000008999/ENSMUSG00000027510/ENSMUSG00000027536/ENSMUSG00000028224/ENSMUSG00000003032/ENSMUSG00000028495/ENSMUSG00000028884/ENSMUSG00000035234/ENSMUSG00000034462/ENSMUSG00000029863/ENSMUSG00000029687/ENSMUSG00000046591/ENSMUSG00000030528/ENSMUSG00000031027/ENSMUSG00000059263/ENSMUSG00000048787/ENSMUSG00000059981/ENSMUSG00000037664/ENSMUSG00000038542/ENSMUSG00000031928/ENSMUSG00000034218/ENSMUSG00000032397/ENSMUSG00000035032/ENSMUSG00000032478/ENSMUSG00000047409/ENSMUSG00000006932",70
"EpiLC only","GO:0070193","synaptonemal complex organization","18/3551","28/22893",7.05245395860951e-09,9.45629039301215e-07,7.00664854656031e-07,"ENSMUSG00000020059/ENSMUSG00000020390/ENSMUSG00000051455/ENSMUSG00000021098/ENSMUSG00000059970/ENSMUSG00000021245/ENSMUSG00000078938/ENSMUSG00000013787/ENSMUSG00000024392/ENSMUSG00000005883/ENSMUSG00000028109/ENSMUSG00000027855/ENSMUSG00000089798/ENSMUSG00000025480/ENSMUSG00000009628/ENSMUSG00000003824/ENSMUSG00000032065/ENSMUSG00000009670",18
"EpiLC only","GO:0045787","positive regulation of cell cycle","96/3551","351/22893",8.0438292643417e-09,1.05608775049753e-06,7.82509355627627e-07,"ENSMUSG00000026039/ENSMUSG00000009907/ENSMUSG00000016526/ENSMUSG00000039224/ENSMUSG00000019773/ENSMUSG00000039910/ENSMUSG00000020185/ENSMUSG00000006728/ENSMUSG00000034274/ENSMUSG00000057897/ENSMUSG00000020122/ENSMUSG00000044847/ENSMUSG00000020390/ENSMUSG00000042506/ENSMUSG00000018509/ENSMUSG00000020838/ENSMUSG00000048895/ENSMUSG00000020516/ENSMUSG00000020546/ENSMUSG00000004043/ENSMUSG00000051455/ENSMUSG00000050965/ENSMUSG00000020649/ENSMUSG00000059970/ENSMUSG00000033373/ENSMUSG00000015937/ENSMUSG00000048904/ENSMUSG00000033102/ENSMUSG00000021611/ENSMUSG00000109561/ENSMUSG00000041431/ENSMUSG00000058317/ENSMUSG00000035960/ENSMUSG00000022061/ENSMUSG00000033644/ENSMUSG00000047911/ENSMUSG00000022018/ENSMUSG00000022369/ENSMUSG00000063704/ENSMUSG00000000489/ENSMUSG00000022521/ENSMUSG00000022528/ENSMUSG00000023886/ENSMUSG00000019432/ENSMUSG00000010592/ENSMUSG00000024056/ENSMUSG00000052525/ENSMUSG00000045038/ENSMUSG00000024286/ENSMUSG00000034653/ENSMUSG00000024590/ENSMUSG00000024913/ENSMUSG00000024922/ENSMUSG00000024943/ENSMUSG00000024837/ENSMUSG00000026991/ENSMUSG00000027381/ENSMUSG00000051177/ENSMUSG00000027654/ENSMUSG00000025758/ENSMUSG00000028017/ENSMUSG00000051675/ENSMUSG00000028717/ENSMUSG00000036856/ENSMUSG00000015880/ENSMUSG00000034462/ENSMUSG00000029283/ENSMUSG00000032959/ENSMUSG00000029472/ENSMUSG00000029726/ENSMUSG00000029570/ENSMUSG00000041147/ENSMUSG00000029752/ENSMUSG00000009376/ENSMUSG00000029687/ENSMUSG00000004264/ENSMUSG00000030346/ENSMUSG00000046179/ENSMUSG00000035314/ENSMUSG00000066306/ENSMUSG00000030978/ENSMUSG00000048583/ENSMUSG00000005534/ENSMUSG00000038542/ENSMUSG00000031446/ENSMUSG00000038416/ENSMUSG00000031565/ENSMUSG00000015994/ENSMUSG00000031490/ENSMUSG00000031906/ENSMUSG00000034330/ENSMUSG00000046111/ENSMUSG00000032010/ENSMUSG00000006676/ENSMUSG00000094985/ENSMUSG00000031229",96
"EpiLC only","GO:0007131","reciprocal meiotic recombination","26/3551","53/22893",1.07944410943753e-08,1.36053135553506e-06,1.00808717251892e-06,"ENSMUSG00000020059/ENSMUSG00000020390/ENSMUSG00000039055/ENSMUSG00000019303/ENSMUSG00000039329/ENSMUSG00000021098/ENSMUSG00000109561/ENSMUSG00000017485/ENSMUSG00000071470/ENSMUSG00000112858/ENSMUSG00000022429/ENSMUSG00000078938/ENSMUSG00000002076/ENSMUSG00000027323/ENSMUSG00000005883/ENSMUSG00000027855/ENSMUSG00000005493/ENSMUSG00000078773/ENSMUSG00000073705/ENSMUSG00000043410/ENSMUSG00000089798/ENSMUSG00000055385/ENSMUSG00000030346/ENSMUSG00000032534/ENSMUSG00000032498/ENSMUSG00000009670",26
"EpiLC only","GO:0140527","reciprocal homologous recombination","26/3551","53/22893",1.07944410943753e-08,1.36053135553506e-06,1.00808717251892e-06,"ENSMUSG00000020059/ENSMUSG00000020390/ENSMUSG00000039055/ENSMUSG00000019303/ENSMUSG00000039329/ENSMUSG00000021098/ENSMUSG00000109561/ENSMUSG00000017485/ENSMUSG00000071470/ENSMUSG00000112858/ENSMUSG00000022429/ENSMUSG00000078938/ENSMUSG00000002076/ENSMUSG00000027323/ENSMUSG00000005883/ENSMUSG00000027855/ENSMUSG00000005493/ENSMUSG00000078773/ENSMUSG00000073705/ENSMUSG00000043410/ENSMUSG00000089798/ENSMUSG00000055385/ENSMUSG00000030346/ENSMUSG00000032534/ENSMUSG00000032498/ENSMUSG00000009670",26
"EpiLC only","GO:0060828","regulation of canonical Wnt signaling pathway","74/3551","250/22893",1.16907263962294e-08,1.44460701468701e-06,1.07038312267644e-06,"ENSMUSG00000026686/ENSMUSG00000039224/ENSMUSG00000020122/ENSMUSG00000020390/ENSMUSG00000018583/ENSMUSG00000020692/ENSMUSG00000048616/ENSMUSG00000042988/ENSMUSG00000044548/ENSMUSG00000021182/ENSMUSG00000044715/ENSMUSG00000021318/ENSMUSG00000021319/ENSMUSG00000021464/ENSMUSG00000053754/ENSMUSG00000021974/ENSMUSG00000021986/ENSMUSG00000063060/ENSMUSG00000022112/ENSMUSG00000041765/ENSMUSG00000022150/ENSMUSG00000046034/ENSMUSG00000022329/ENSMUSG00000037487/ENSMUSG00000022297/ENSMUSG00000046380/ENSMUSG00000036158/ENSMUSG00000022905/ENSMUSG00000022812/ENSMUSG00000053436/ENSMUSG00000024286/ENSMUSG00000024304/ENSMUSG00000005871/ENSMUSG00000071856/ENSMUSG00000073563/ENSMUSG00000024986/ENSMUSG00000018822/ENSMUSG00000078202/ENSMUSG00000026883/ENSMUSG00000050447/ENSMUSG00000034848/ENSMUSG00000027253/ENSMUSG00000074934/ENSMUSG00000027356/ENSMUSG00000074637/ENSMUSG00000027996/ENSMUSG00000033767/ENSMUSG00000028017/ENSMUSG00000043252/ENSMUSG00000040183/ENSMUSG00000008305/ENSMUSG00000028496/ENSMUSG00000028677/ENSMUSG00000044674/ENSMUSG00000050010/ENSMUSG00000049551/ENSMUSG00000030223/ENSMUSG00000015133/ENSMUSG00000030544/ENSMUSG00000049791/ENSMUSG00000059263/ENSMUSG00000030956/ENSMUSG00000036712/ENSMUSG00000061048/ENSMUSG00000000303/ENSMUSG00000095941/ENSMUSG00000053110/ENSMUSG00000032280/ENSMUSG00000032402/ENSMUSG00000035274/ENSMUSG00000032419/ENSMUSG00000032558/ENSMUSG00000006932/ENSMUSG00000055653",74
"EpiLC only","GO:0043543","protein acylation","77/3551","264/22893",1.21577899773222e-08,1.47343062379009e-06,1.09174000687047e-06,"ENSMUSG00000010453/ENSMUSG00000026283/ENSMUSG00000026473/ENSMUSG00000026563/ENSMUSG00000039224/ENSMUSG00000020063/ENSMUSG00000035478/ENSMUSG00000035798/ENSMUSG00000090247/ENSMUSG00000020456/ENSMUSG00000020387/ENSMUSG00000042506/ENSMUSG00000059474/ENSMUSG00000059995/ENSMUSG00000020664/ENSMUSG00000004789/ENSMUSG00000021180/ENSMUSG00000059288/ENSMUSG00000042682/ENSMUSG00000036282/ENSMUSG00000033644/ENSMUSG00000022020/ENSMUSG00000022422/ENSMUSG00000072501/ENSMUSG00000022469/ENSMUSG00000022521/ENSMUSG00000041215/ENSMUSG00000022812/ENSMUSG00000036304/ENSMUSG00000022698/ENSMUSG00000034265/ENSMUSG00000024392/ENSMUSG00000038954/ENSMUSG00000023994/ENSMUSG00000024212/ENSMUSG00000024293/ENSMUSG00000024384/ENSMUSG00000024515/ENSMUSG00000024764/ENSMUSG00000024943/ENSMUSG00000024982/ENSMUSG00000026643/ENSMUSG00000026917/ENSMUSG00000015335/ENSMUSG00000041975/ENSMUSG00000002728/ENSMUSG00000038116/ENSMUSG00000027569/ENSMUSG00000063273/ENSMUSG00000039068/ENSMUSG00000028284/ENSMUSG00000028470/ENSMUSG00000028394/ENSMUSG00000028403/ENSMUSG00000028496/ENSMUSG00000028518/ENSMUSG00000032897/ENSMUSG00000028863/ENSMUSG00000028899/ENSMUSG00000028964/ENSMUSG00000095567/ENSMUSG00000002221/ENSMUSG00000029238/ENSMUSG00000029265/ENSMUSG00000042719/ENSMUSG00000029673/ENSMUSG00000041147/ENSMUSG00000025889/ENSMUSG00000001632/ENSMUSG00000030330/ENSMUSG00000003423/ENSMUSG00000043866/ENSMUSG00000039199/ENSMUSG00000031823/ENSMUSG00000046111/ENSMUSG00000032187/ENSMUSG00000031358",77
"EpiLC only","GO:0006457","protein folding","55/3551","167/22893",1.58126027694937e-08,1.8802079745915e-06,1.39314212284953e-06,"ENSMUSG00000025980/ENSMUSG00000026241/ENSMUSG00000003226/ENSMUSG00000020260/ENSMUSG00000020048/ENSMUSG00000053838/ENSMUSG00000071866/ENSMUSG00000020288/ENSMUSG00000020328/ENSMUSG00000020368/ENSMUSG00000025130/ENSMUSG00000059970/ENSMUSG00000021236/ENSMUSG00000021037/ENSMUSG00000021270/ENSMUSG00000039233/ENSMUSG00000038991/ENSMUSG00000021868/ENSMUSG00000022136/ENSMUSG00000022234/ENSMUSG00000022403/ENSMUSG00000004460/ENSMUSG00000022844/ENSMUSG00000025613/ENSMUSG00000037649/ENSMUSG00000024359/ENSMUSG00000024580/ENSMUSG00000024780/ENSMUSG00000036327/ENSMUSG00000075467/ENSMUSG00000027006/ENSMUSG00000060802/ENSMUSG00000027274/ENSMUSG00000032966/ENSMUSG00000025757/ENSMUSG00000027804/ENSMUSG00000036052/ENSMUSG00000060288/ENSMUSG00000028851/ENSMUSG00000029014/ENSMUSG00000029131/ENSMUSG00000040013/ENSMUSG00000029657/ENSMUSG00000025823/ENSMUSG00000030007/ENSMUSG00000030357/ENSMUSG00000030417/ENSMUSG00000019732/ENSMUSG00000005483/ENSMUSG00000031701/ENSMUSG00000001774/ENSMUSG00000037287/ENSMUSG00000032285/ENSMUSG00000032383/ENSMUSG00000025289",55
"EpiLC only","GO:0035825","homologous recombination","26/3551","54/22893",1.77475761773136e-08,2.07120787165611e-06,1.53466370219421e-06,"ENSMUSG00000020059/ENSMUSG00000020390/ENSMUSG00000039055/ENSMUSG00000019303/ENSMUSG00000039329/ENSMUSG00000021098/ENSMUSG00000109561/ENSMUSG00000017485/ENSMUSG00000071470/ENSMUSG00000112858/ENSMUSG00000022429/ENSMUSG00000078938/ENSMUSG00000002076/ENSMUSG00000027323/ENSMUSG00000005883/ENSMUSG00000027855/ENSMUSG00000005493/ENSMUSG00000078773/ENSMUSG00000073705/ENSMUSG00000043410/ENSMUSG00000089798/ENSMUSG00000055385/ENSMUSG00000030346/ENSMUSG00000032534/ENSMUSG00000032498/ENSMUSG00000009670",26
"EpiLC only","GO:0030178","negative regulation of Wnt signaling pathway","55/3551","168/22893",1.9991143137469e-08,2.29062152822418e-06,1.69723848723086e-06,"ENSMUSG00000056758/ENSMUSG00000020176/ENSMUSG00000040489/ENSMUSG00000018583/ENSMUSG00000048616/ENSMUSG00000042988/ENSMUSG00000044548/ENSMUSG00000021182/ENSMUSG00000021318/ENSMUSG00000021319/ENSMUSG00000021464/ENSMUSG00000053754/ENSMUSG00000021974/ENSMUSG00000044461/ENSMUSG00000021986/ENSMUSG00000041765/ENSMUSG00000022150/ENSMUSG00000022329/ENSMUSG00000022297/ENSMUSG00000036158/ENSMUSG00000022812/ENSMUSG00000053436/ENSMUSG00000032717/ENSMUSG00000024304/ENSMUSG00000005871/ENSMUSG00000071856/ENSMUSG00000018822/ENSMUSG00000026883/ENSMUSG00000027253/ENSMUSG00000074934/ENSMUSG00000027356/ENSMUSG00000027358/ENSMUSG00000074637/ENSMUSG00000027996/ENSMUSG00000033767/ENSMUSG00000044365/ENSMUSG00000043252/ENSMUSG00000040183/ENSMUSG00000008305/ENSMUSG00000028496/ENSMUSG00000044674/ENSMUSG00000050010/ENSMUSG00000030223/ENSMUSG00000030544/ENSMUSG00000049791/ENSMUSG00000036712/ENSMUSG00000000303/ENSMUSG00000095941/ENSMUSG00000004637/ENSMUSG00000032280/ENSMUSG00000035274/ENSMUSG00000032419/ENSMUSG00000032558/ENSMUSG00000006932/ENSMUSG00000055653",55
"EpiLC only","GO:0051054","positive regulation of DNA metabolic process","84/3551","300/22893",2.14893987788322e-08,2.38085511507506e-06,1.76409716054602e-06,"ENSMUSG00000026134/ENSMUSG00000048402/ENSMUSG00000026393/ENSMUSG00000042699/ENSMUSG00000028354/ENSMUSG00000026526/ENSMUSG00000026496/ENSMUSG00000026622/ENSMUSG00000036875/ENSMUSG00000020063/ENSMUSG00000020185/ENSMUSG00000025374/ENSMUSG00000020482/ENSMUSG00000020427/ENSMUSG00000020122/ENSMUSG00000020390/ENSMUSG00000020898/ENSMUSG00000060216/ENSMUSG00000059474/ENSMUSG00000021264/ENSMUSG00000021270/ENSMUSG00000021948/ENSMUSG00000042354/ENSMUSG00000054051/ENSMUSG00000021936/ENSMUSG00000115338/ENSMUSG00000047911/ENSMUSG00000022018/ENSMUSG00000022234/ENSMUSG00000022422/ENSMUSG00000063704/ENSMUSG00000000489/ENSMUSG00000022672/ENSMUSG00000022881/ENSMUSG00000022797/ENSMUSG00000022812/ENSMUSG00000025613/ENSMUSG00000023886/ENSMUSG00000019432/ENSMUSG00000024054/ENSMUSG00000024151/ENSMUSG00000041238/ENSMUSG00000039205/ENSMUSG00000016458/ENSMUSG00000074934/ENSMUSG00000027323/ENSMUSG00000027342/ENSMUSG00000027569/ENSMUSG00000028121/ENSMUSG00000028017/ENSMUSG00000028224/ENSMUSG00000028322/ENSMUSG00000003032/ENSMUSG00000028863/ENSMUSG00000002221/ENSMUSG00000057406/ENSMUSG00000035234/ENSMUSG00000029283/ENSMUSG00000029363/ENSMUSG00000075569/ENSMUSG00000009376/ENSMUSG00000029911/ENSMUSG00000003476/ENSMUSG00000030007/ENSMUSG00000030346/ENSMUSG00000038028/ENSMUSG00000005566/ENSMUSG00000046179/ENSMUSG00000030528/ENSMUSG00000030689/ENSMUSG00000030685/ENSMUSG00000002948/ENSMUSG00000031565/ENSMUSG00000014907/ENSMUSG00000036990/ENSMUSG00000031669/ENSMUSG00000109941/ENSMUSG00000031928/ENSMUSG00000034218/ENSMUSG00000032409/ENSMUSG00000032498/ENSMUSG00000006932/ENSMUSG00000031403/ENSMUSG00000031229",84
"EpiLC only","GO:0009314","response to radiation","111/3551","431/22893",2.15342338240683e-08,2.38085511507506e-06,1.76409716054602e-06,"ENSMUSG00000026082/ENSMUSG00000026048/ENSMUSG00000026107/ENSMUSG00000025958/ENSMUSG00000026196/ENSMUSG00000055866/ENSMUSG00000073616/ENSMUSG00000057329/ENSMUSG00000018199/ENSMUSG00000026596/ENSMUSG00000040782/ENSMUSG00000026525/ENSMUSG00000026496/ENSMUSG00000026510/ENSMUSG00000037461/ENSMUSG00000020063/ENSMUSG00000035504/ENSMUSG00000020038/ENSMUSG00000056758/ENSMUSG00000044071/ENSMUSG00000025374/ENSMUSG00000020413/ENSMUSG00000035455/ENSMUSG00000020122/ENSMUSG00000000617/ENSMUSG00000020390/ENSMUSG00000048616/ENSMUSG00000054364/ENSMUSG00000021116/ENSMUSG00000021264/ENSMUSG00000021215/ENSMUSG00000021684/ENSMUSG00000021670/ENSMUSG00000021948/ENSMUSG00000054051/ENSMUSG00000021936/ENSMUSG00000115338/ENSMUSG00000022033/ENSMUSG00000022248/ENSMUSG00000038984/ENSMUSG00000055762/ENSMUSG00000022559/ENSMUSG00000022489/ENSMUSG00000022521/ENSMUSG00000022672/ENSMUSG00000052133/ENSMUSG00000053436/ENSMUSG00000024242/ENSMUSG00000024151/ENSMUSG00000005370/ENSMUSG00000024423/ENSMUSG00000024927/ENSMUSG00000034659/ENSMUSG00000025076/ENSMUSG00000026648/ENSMUSG00000017412/ENSMUSG00000035168/ENSMUSG00000068742/ENSMUSG00000005089/ENSMUSG00000027323/ENSMUSG00000027342/ENSMUSG00000027804/ENSMUSG00000027996/ENSMUSG00000068696/ENSMUSG00000078773/ENSMUSG00000051675/ENSMUSG00000028957/ENSMUSG00000029064/ENSMUSG00000095567/ENSMUSG00000023353/ENSMUSG00000028933/ENSMUSG00000002221/ENSMUSG00000029110/ENSMUSG00000029104/ENSMUSG00000039358/ENSMUSG00000005672/ENSMUSG00000029238/ENSMUSG00000035234/ENSMUSG00000033540/ENSMUSG00000041147/ENSMUSG00000002413/ENSMUSG00000030254/ENSMUSG00000053004/ENSMUSG00000051331/ENSMUSG00000030346/ENSMUSG00000038028/ENSMUSG00000056043/ENSMUSG00000038644/ENSMUSG00000040136/ENSMUSG00000030523/ENSMUSG00000046591/ENSMUSG00000030528/ENSMUSG00000035211/ENSMUSG00000030726/ENSMUSG00000059263/ENSMUSG00000048787/ENSMUSG00000002948/ENSMUSG00000049717/ENSMUSG00000038225/ENSMUSG00000087408/ENSMUSG00000003575/ENSMUSG00000031652/ENSMUSG00000036564/ENSMUSG00000025809/ENSMUSG00000053110/ENSMUSG00000032010/ENSMUSG00000034218/ENSMUSG00000034485/ENSMUSG00000032397/ENSMUSG00000032409/ENSMUSG00000000838",111
"EpiLC only","GO:0007611","learning or memory","88/3551","320/22893",2.52282206343439e-08,2.74117666271784e-06,2.03107779916423e-06,"ENSMUSG00000033569/ENSMUSG00000026080/ENSMUSG00000025958/ENSMUSG00000026385/ENSMUSG00000026596/ENSMUSG00000026686/ENSMUSG00000010609/ENSMUSG00000055493/ENSMUSG00000044071/ENSMUSG00000020431/ENSMUSG00000020402/ENSMUSG00000020838/ENSMUSG00000048616/ENSMUSG00000045532/ENSMUSG00000050965/ENSMUSG00000020654/ENSMUSG00000002900/ENSMUSG00000002997/ENSMUSG00000021055/ENSMUSG00000048904/ENSMUSG00000055254/ENSMUSG00000021684/ENSMUSG00000021670/ENSMUSG00000021699/ENSMUSG00000021701/ENSMUSG00000021877/ENSMUSG00000062014/ENSMUSG00000053754/ENSMUSG00000106847/ENSMUSG00000022602/ENSMUSG00000042632/ENSMUSG00000022623/ENSMUSG00000022469/ENSMUSG00000022489/ENSMUSG00000022521/ENSMUSG00000022951/ENSMUSG00000042644/ENSMUSG00000013787/ENSMUSG00000024109/ENSMUSG00000038128/ENSMUSG00000045730/ENSMUSG00000033768/ENSMUSG00000024935/ENSMUSG00000013662/ENSMUSG00000039652/ENSMUSG00000038765/ENSMUSG00000035168/ENSMUSG00000074923/ENSMUSG00000060802/ENSMUSG00000027365/ENSMUSG00000051177/ENSMUSG00000039519/ENSMUSG00000051136/ENSMUSG00000027792/ENSMUSG00000028072/ENSMUSG00000068696/ENSMUSG00000044288/ENSMUSG00000028546/ENSMUSG00000052135/ENSMUSG00000042453/ENSMUSG00000029104/ENSMUSG00000039358/ENSMUSG00000037685/ENSMUSG00000005672/ENSMUSG00000033540/ENSMUSG00000042589/ENSMUSG00000049551/ENSMUSG00000059991/ENSMUSG00000029563/ENSMUSG00000038665/ENSMUSG00000002413/ENSMUSG00000035199/ENSMUSG00000049112/ENSMUSG00000053004/ENSMUSG00000051331/ENSMUSG00000053550/ENSMUSG00000040136/ENSMUSG00000055078/ENSMUSG00000025326/ENSMUSG00000048583/ENSMUSG00000026317/ENSMUSG00000008892/ENSMUSG00000062991/ENSMUSG00000003575/ENSMUSG00000036564/ENSMUSG00000025809/ENSMUSG00000032186/ENSMUSG00000035274",88
"EpiLC only","GO:0006261","DNA-templated DNA replication","50/3551","148/22893",2.76410145012393e-08,2.95243514214933e-06,2.18760999692235e-06,"ENSMUSG00000041859/ENSMUSG00000026134/ENSMUSG00000026309/ENSMUSG00000026355/ENSMUSG00000060244/ENSMUSG00000019773/ENSMUSG00000020075/ENSMUSG00000036875/ENSMUSG00000020185/ENSMUSG00000020471/ENSMUSG00000016984/ENSMUSG00000039055/ENSMUSG00000025134/ENSMUSG00000021400/ENSMUSG00000037572/ENSMUSG00000022422/ENSMUSG00000022881/ENSMUSG00000043991/ENSMUSG00000024833/ENSMUSG00000025209/ENSMUSG00000039205/ENSMUSG00000027323/ENSMUSG00000027342/ENSMUSG00000027639/ENSMUSG00000028212/ENSMUSG00000045751/ENSMUSG00000028394/ENSMUSG00000073705/ENSMUSG00000061755/ENSMUSG00000029283/ENSMUSG00000029363/ENSMUSG00000041147/ENSMUSG00000029911/ENSMUSG00000030243/ENSMUSG00000038644/ENSMUSG00000046179/ENSMUSG00000039176/ENSMUSG00000046591/ENSMUSG00000030528/ENSMUSG00000030726/ENSMUSG00000030978/ENSMUSG00000031565/ENSMUSG00000038225/ENSMUSG00000031669/ENSMUSG00000031928/ENSMUSG00000032397/ENSMUSG00000032409/ENSMUSG00000032586/ENSMUSG00000006678/ENSMUSG00000031229",50
"EpiLC only","GO:0048477","oogenesis","41/3551","112/22893",3.79343557872684e-08,3.98437183618943e-06,2.95222460126882e-06,"ENSMUSG00000006538/ENSMUSG00000026241/ENSMUSG00000057329/ENSMUSG00000037035/ENSMUSG00000060985/ENSMUSG00000028354/ENSMUSG00000019773/ENSMUSG00000043648/ENSMUSG00000018554/ENSMUSG00000051455/ENSMUSG00000021098/ENSMUSG00000041431/ENSMUSG00000033644/ENSMUSG00000022429/ENSMUSG00000068117/ENSMUSG00000023809/ENSMUSG00000040140/ENSMUSG00000010592/ENSMUSG00000054321/ENSMUSG00000034653/ENSMUSG00000024837/ENSMUSG00000025081/ENSMUSG00000057110/ENSMUSG00000051177/ENSMUSG00000005883/ENSMUSG00000027794/ENSMUSG00000041912/ENSMUSG00000028109/ENSMUSG00000027905/ENSMUSG00000000561/ENSMUSG00000035517/ENSMUSG00000028495/ENSMUSG00000036856/ENSMUSG00000043410/ENSMUSG00000041147/ENSMUSG00000034218/ENSMUSG00000043289/ENSMUSG00000032498/ENSMUSG00000006932/ENSMUSG00000073294/ENSMUSG00000079509",41
"EpiLC only","GO:0050890","cognition","95/3551","357/22893",4.12758791221073e-08,4.23930035399173e-06,3.14111416096934e-06,"ENSMUSG00000033569/ENSMUSG00000026080/ENSMUSG00000025958/ENSMUSG00000026385/ENSMUSG00000026596/ENSMUSG00000026686/ENSMUSG00000010609/ENSMUSG00000055493/ENSMUSG00000044071/ENSMUSG00000020431/ENSMUSG00000020402/ENSMUSG00000020838/ENSMUSG00000048616/ENSMUSG00000045532/ENSMUSG00000050965/ENSMUSG00000090266/ENSMUSG00000020654/ENSMUSG00000002900/ENSMUSG00000002997/ENSMUSG00000021055/ENSMUSG00000048904/ENSMUSG00000055254/ENSMUSG00000021684/ENSMUSG00000021670/ENSMUSG00000021699/ENSMUSG00000021701/ENSMUSG00000021877/ENSMUSG00000062014/ENSMUSG00000053754/ENSMUSG00000106847/ENSMUSG00000022602/ENSMUSG00000042632/ENSMUSG00000022623/ENSMUSG00000022469/ENSMUSG00000022489/ENSMUSG00000022521/ENSMUSG00000022951/ENSMUSG00000022947/ENSMUSG00000042644/ENSMUSG00000013787/ENSMUSG00000024109/ENSMUSG00000038128/ENSMUSG00000045730/ENSMUSG00000033768/ENSMUSG00000024935/ENSMUSG00000013662/ENSMUSG00000039652/ENSMUSG00000038765/ENSMUSG00000035168/ENSMUSG00000041762/ENSMUSG00000074923/ENSMUSG00000060802/ENSMUSG00000027365/ENSMUSG00000051177/ENSMUSG00000027523/ENSMUSG00000039519/ENSMUSG00000051136/ENSMUSG00000027792/ENSMUSG00000028072/ENSMUSG00000068696/ENSMUSG00000044288/ENSMUSG00000028546/ENSMUSG00000052135/ENSMUSG00000028655/ENSMUSG00000042453/ENSMUSG00000029104/ENSMUSG00000039358/ENSMUSG00000037685/ENSMUSG00000005672/ENSMUSG00000033540/ENSMUSG00000042589/ENSMUSG00000049551/ENSMUSG00000059991/ENSMUSG00000029563/ENSMUSG00000038665/ENSMUSG00000002413/ENSMUSG00000035199/ENSMUSG00000049112/ENSMUSG00000053004/ENSMUSG00000051331/ENSMUSG00000053550/ENSMUSG00000040136/ENSMUSG00000055078/ENSMUSG00000025326/ENSMUSG00000053091/ENSMUSG00000048583/ENSMUSG00000026317/ENSMUSG00000008892/ENSMUSG00000062991/ENSMUSG00000003575/ENSMUSG00000036564/ENSMUSG00000025809/ENSMUSG00000032239/ENSMUSG00000032186/ENSMUSG00000035274",95
