PeakID (cmd=annotatePeaks.pl tss mm10 -list ../data/raw/KDM5C_bound_allgerm_HOMER.txt -m E2F.motif -size -300,300)	Chr	Start	End	Strand	Not Used	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type	CpG%	GC%	E2F Distance From Peak(sequence,strand,conservation)
NM_028966	chr14	46882665	46883265	+	0	NA	promoter-TSS (NM_001037221)	promoter-TSS (NM_001037221)	0	NM_028966	74480		NM_028966	ENSMUSG00000021838	Samd4	1700024G08Rik|1700111L17Rik|4933436G17Rik|Samd4a|Smaug|Smaug1|sunk	sterile alpha motif domain containing 4	protein-coding	0.096667	0.697171	
NM_029428	chr8	119612413	119613013	+	0	NA	promoter-TSS (NM_029428)	promoter-TSS (NM_029428)	0	NM_029428	75773		NM_029428	ENSMUSG00000024266	Adad2	4930403J07Rik	adenosine deaminase domain containing 2	protein-coding	0.058333	0.653910	
NM_026489	chr3	95559377	95559977	+	0	NA	promoter-TSS (NM_001289537)	promoter-TSS (NM_001289537)	0	NM_026489	67981		NM_026489	ENSMUSG00000028109	Hormad1	4921522K05Rik|Nohma	HORMA domain containing 1	protein-coding	0.061667	0.569052	-95(GCGGGA,-,0.00)
NM_001004191	chr9	48495043	48495643	+	0	NA	promoter-TSS (NR_037589)	promoter-TSS (NR_037589)	0	NM_001004191	434402		NM_001004191	ENSMUSG00000042293	Gm5617	EG434402	predicted gene 5617	protein-coding	0.115000	0.657238	56(GCGGGA,-,0.00)
NM_033077	chr1	186967116	186967716	+	0	NA	promoter-TSS (NM_033077)	promoter-TSS (NM_033077)	0	NM_033077	110957		NM_033077	ENSMUSG00000039224	D1Pas1	DDX3XL|Pl10	DNA segment, Chr 1, Pasteur Institute 1	protein-coding	0.076667	0.587354	-147(GCGGGA,-,0.00)
NM_001033776	chr12	84642596	84643196	+	0	NA	promoter-TSS (NM_001033776)	promoter-TSS (NM_001033776)	0	NM_001033776	432677		NM_001033776	ENSMUSG00000071235	Vrtn	7420416P09Rik	vertebrae development associated	protein-coding	0.033333	0.500832	
NM_024267	chr14	55635384	55635984	-	0	NA	promoter-TSS (NM_024267)	promoter-TSS (NM_024267)	0	NM_024267	75751		NM_024267	ENSMUSG00000002319	Ipo4	8430408O15Rik|Imp4a|RanBP4	importin 4	protein-coding	0.066667	0.605657	
NM_080470	chr15	85131657	85132257	-	0	NA	promoter-TSS (NM_080470)	promoter-TSS (NM_080470)	0	NM_080470	140557		NM_080470	ENSMUSG00000022432	Smc1b	SMC-1B|SMC1beta|Smc1l2	structural maintenance of chromosomes 1B	protein-coding	0.086667	0.612313	-47(TCCCGC,+,0.00)
NM_025911	chr6	147475571	147476171	+	0	NA	promoter-TSS (NM_001355715)	promoter-TSS (NM_001355715)	0	NM_025911	67015		NM_025911	ENSMUSG00000030301	Ccdc91	1700086G08Rik|1810060J02Rik|p56	coiled-coil domain containing 91	protein-coding	0.068333	0.599002	
NM_010443	chr16	4741313	4741913	+	0	NA	promoter-TSS (NM_010443)	promoter-TSS (NM_010443)	0	NM_010443	15369		NM_010443	ENSMUSG00000004070	Hmox2	HO-2|HO2	heme oxygenase 2	protein-coding	0.001667	0.462562	
NM_025281	chr5	38220182	38220782	+	0	NA	promoter-TSS (NR_153116)	promoter-TSS (NR_153116)	0	NM_025281	17089		NM_025281	ENSMUSG00000067367	Lyar	MLZ-264	Ly1 antibody reactive clone	protein-coding	0.115000	0.687188	
NM_011401	chr6	122742445	122743045	-	0	NA	promoter-TSS (NM_011401)	promoter-TSS (NM_011401)	0	NM_011401	20527		NM_011401	ENSMUSG00000003153	Slc2a3	Glut-3|Glut3	solute carrier family 2 (facilitated glucose transporter), member 3	protein-coding	0.026667	0.497504	
NM_175286	chr2	25262298	25262898	+	0	NA	promoter-TSS (NM_175286)	promoter-TSS (NM_175286)	0	NM_175286	97031		NM_175286	ENSMUSG00000048707	Tprn	C430004E15Rik	taperin	protein-coding	0.083333	0.635607	
NM_183174	chr14	54860190	54860790	-	0	NA	promoter-TSS (NM_183174)	promoter-TSS (NM_183174)	0	NM_183174	239099		NM_183174	ENSMUSG00000057156	Homez	mKIAA1443	homeodomain leucine zipper-encoding gene	protein-coding	0.006667	0.424293	
NM_172461	chr9	105394987	105395587	-	0	NA	promoter-TSS (NM_172461)	promoter-TSS (NM_172461)	0	NM_172461	208583		NM_172461	ENSMUSG00000035032	Nek11	4932416N14Rik	NIMA (never in mitosis gene a)-related expressed kinase 11	protein-coding	0.086667	0.600666	
NM_173384	chr11	45980010	45980610	+	0	NA	promoter-TSS (NM_173384)	promoter-TSS (NM_173384)	0	NM_173384	214105		NM_173384	ENSMUSG00000040489	Sox30	-	SRY (sex determining region Y)-box 30	protein-coding	0.121667	0.730449	-161(GCGGGA,-,0.00)
NM_001033550	chr5	105415475	105416075	+	0	NA	promoter-TSS (NM_001033550)	promoter-TSS (NM_001033550)	0	NM_001033550	433926		NM_001033550	ENSMUSG00000070639	Lrrc8b	2210408K08Rik|Ta-lrrp|mKIAA0231	leucine rich repeat containing 8 family, member B	protein-coding	0.146667	0.778702	-112(TCCCGC,+,0.00),44(TCCCGC,+,0.00),228(TCCCGC,+,0.00)
NM_026293	chr4	34049767	34050367	-	0	NA	promoter-TSS (NM_026293)	promoter-TSS (NM_026293)	0	NM_026293	67652		NM_026293	ENSMUSG00000028264	Spaca1	1700124L11Rik|4930540L03Rik	sperm acrosome associated 1	protein-coding	0.073333	0.645591	-171(TCCCGC,+,0.00),-136(TCCCGC,+,0.00)
NM_008588	chr7	79793290	79793890	-	0	NA	promoter-TSS (NM_008588)	promoter-TSS (NM_008588)	0	NM_008588	17292		NM_008588	ENSMUSG00000030544	Mesp1	bHLHc5	mesoderm posterior 1	protein-coding	0.051667	0.610649	110(TCCCGC,+,0.00),259(GCGGGA,-,0.00)
NM_025719	chr13	21468201	21468801	-	0	NA	promoter-TSS (NM_025719)	promoter-TSS (NM_025719)	0	NM_025719	66707		NM_025719	ENSMUSG00000059395	Nkapl	4921504I05Rik	NFKB activating protein-like	protein-coding	0.076667	0.605657	-134(TCCCGC,+,0.00),-13(GCGGGA,-,0.00)
NM_080442	chr4	129490470	129491070	-	0	NA	promoter-TSS (NM_001085491)	promoter-TSS (NM_001085491)	0	NM_080442	58864		NM_080442	ENSMUSG00000000411	Tssk3	1700014N07Rik|4930594I21Rik|Stk22c|Stk22d|Tsk-3|Tssk-3|Tssk3b	testis-specific serine kinase 3	protein-coding	0.025000	0.545757	
NM_021480	chr14	63508792	63509392	-	0	NA	promoter-TSS (NM_021480)	promoter-TSS (NM_021480)	0	NM_021480	58865		NM_021480	ENSMUSG00000021953	Tdh	-	L-threonine dehydrogenase	protein-coding	0.035000	0.549085	258(TCCCGC,+,0.00)
NM_019981	chr7	24671750	24672350	-	0	NA	promoter-TSS (NM_019981)	promoter-TSS (NM_019981)	0	NM_019981	56746		NM_019981	ENSMUSG00000062773	Tex101	1700008H15Rik|TES101RP	testis expressed gene 101	protein-coding	0.046667	0.582363	148(GCGGGA,-,0.00)
NM_015758	chr4	114925767	114926367	-	0	NA	promoter-TSS (NM_015758)	promoter-TSS (NM_015758)	0	NM_015758	30923		NM_015758	ENSMUSG00000044518	Foxe3	FREAC8|dyl|rct	forkhead box E3	protein-coding	0.076667	0.663894	132(GCGGGA,-,0.00)
NM_008868	chr4	138725025	138725625	+	0	NA	promoter-TSS (NM_008868)	promoter-TSS (NM_008868)	0	NM_008868	18781		NM_008868	ENSMUSG00000028750	Pla2g2c	-	phospholipase A2, group IIC	protein-coding	0.028333	0.622296	
NM_177230	chr5	92674827	92675427	-	0	NA	promoter-TSS (NM_177230)	promoter-TSS (NM_177230)	0	NM_177230	320696		NM_177230	ENSMUSG00000050050	Ccdc158	4932413O14Rik	coiled-coil domain containing 158	protein-coding	0.073333	0.633943	248(GCGGGA,-,0.00)
NM_021568	chr10	76961647	76962247	-	0	NA	promoter-TSS (NM_001347216)	promoter-TSS (NM_001347216)	0	NM_021568	59093		NM_021568	ENSMUSG00000001120	Pcbp3	AlphaCP-3	poly(rC) binding protein 3	protein-coding	0.106667	0.718802	
NM_001045527	chr11	87616864	87617464	+	0	NA	promoter-TSS (NM_001045527)	promoter-TSS (NM_001045527)	0	NM_001045527	327992		NM_001045527	ENSMUSG00000070345	Hsf5	Gm739|MLZ-220	heat shock transcription factor family member 5	protein-coding	0.108333	0.733777	-71(GCGGGA,-,0.00)
NM_009350	chr3	37063356	37063956	+	0	NA	promoter-TSS (NM_009350)	promoter-TSS (NM_009350)	0	NM_009350	21744		NM_009350	ENSMUSG00000027719	Adad1	Tenr	adenosine deaminase domain containing 1	protein-coding	0.086667	0.667221	
NM_021397	chr7	30592642	30593242	-	0	NA	promoter-TSS (NM_021397)	promoter-TSS (NM_021397)	0	NM_021397	58206		NM_021397	ENSMUSG00000006310	Zbtb32	4930524C15Rik|FAXF|FAZF|PLZP|Rog|Tzfp	zinc finger and BTB domain containing 32	protein-coding	0.010000	0.510815	
NM_027957	chr1	36593032	36593632	-	0	NA	promoter-TSS (NM_027957)	promoter-TSS (NM_027957)	0	NM_027957	381337		NM_027957	ENSMUSG00000046337	Fam178b	1700024G10Rik|Gm990	family with sequence similarity 178, member B	protein-coding	0.003333	0.532446	
NM_027057	chr1	79761469	79762069	-	0	NA	promoter-TSS (NM_001111279)	promoter-TSS (NM_001111279)	0	NM_027057	69368		NM_027057	ENSMUSG00000073643	Wdfy1	1700013B03Rik|1700120F24Rik|FENS-1|Jr1|WDF1|ZFYVE17|mKIAA1435	WD repeat and FYVE domain containing 1	protein-coding	0.083333	0.600666	
NM_009648	chr11	88851203	88851803	-	0	NA	promoter-TSS (NR_104310)	promoter-TSS (NR_104310)	0	NM_009648	11640		NM_009648	ENSMUSG00000018428	Akap1	AKAP121|AKAP84|Akap|DAKAP1|S-AKAP84	A kinase anchor protein 1	protein-coding	0.016667	0.550749	98(GCGGGA,-,0.00)
NM_001014900	chr4	119422384	119422984	+	0	NA	promoter-TSS (NM_026494)	promoter-TSS (NM_026494)	0	NM_001014900	332934		NM_001014900	ENSMUSG00000070806	Zmynd12	-	zinc finger, MYND domain containing 12	protein-coding	0.076667	0.592346	76(TCCCGC,+,0.00)
NM_145508	chr1	131137934	131138534	-	0	NA	promoter-TSS (NM_145508)	promoter-TSS (NM_145508)	0	NM_145508	226419		NM_145508	ENSMUSG00000016526	Dyrk3	-	dual-specificity tyrosine phosphorylation regulated kinase 3	protein-coding	0.116667	0.705491	-54(TCCCGC,+,0.00),100(GCGGGA,-,0.00),136(TCCCGC,+,0.00),175(GCGGGA,-,0.00),224(GCGGGA,-,0.00),247(GCGGGA,-,0.00)
NM_026262	chr11	31965333	31965933	+	0	NA	promoter-TSS (NM_026262)	promoter-TSS (NM_026262)	0	NM_026262	67592		NM_026262	ENSMUSG00000020299	4930524B15Rik	-	RIKEN cDNA 4930524B15 gene	protein-coding	0.060000	0.673877	-4(TCCCGC,+,0.00)
NM_133817	chr1	33814295	33814895	-	0	NA	promoter-TSS (NM_133817)	promoter-TSS (NM_133817)	0	NM_133817	98403		NM_133817	ENSMUSG00000042197	Zfp451	4930515K21Rik|4933435G09Rik|COASTER|Kiaa0576-hp|Znf451|mKIAA1702	zinc finger protein 451	protein-coding	0.098333	0.650582	13(GCGGGA,-,0.00),204(GCGGGA,-,0.00)
NM_028844	chr2	112492664	112493264	+	0	NA	promoter-TSS (NM_028844)	promoter-TSS (NM_028844)	0	NM_028844	74268		NM_028844	ENSMUSG00000003604	Aven	1700013A01Rik|1700056A21Rik|mAven-L|mAven-S	apoptosis, caspase activation inhibitor	protein-coding	0.110000	0.672213	
NM_008043	chr19	41829670	41830270	+	0	NA	promoter-TSS (NM_008043)	promoter-TSS (NM_008043)	0	NM_008043	14296		NM_008043	ENSMUSG00000067199	Frat1	-	frequently rearranged in advanced T cell lymphomas	protein-coding	0.083333	0.668885	38(TCCCGC,+,0.00),111(TCCCGC,+,0.00)
NM_153104	chr11	95824200	95824800	+	0	NA	promoter-TSS (NM_153104)	promoter-TSS (NM_153104)	0	NM_153104	237928		NM_153104	ENSMUSG00000050860	Phospho1	D11Moh36|Phospo1	phosphatase, orphan 1	protein-coding	0.101667	0.703827	-143(TCCCGC,+,0.00)
NM_054054	chr5	107330894	107331494	+	0	NA	promoter-TSS (NM_001079873)	promoter-TSS (NM_001079873)	0	NM_054054	114642		NM_054054	ENSMUSG00000029279	Brdt	7420412D09Rik|Brd6|Fsrg3	bromodomain, testis-specific	protein-coding	0.055000	0.597338	
NM_026915	chr9	121641294	121641894	-	0	NA	promoter-TSS (NM_026915)	promoter-TSS (NM_026915)	0	NM_026915	69032		NM_026915	ENSMUSG00000032530	Lyzl4	1810009N24Rik|Lyc4|Lyza	lysozyme-like 4	protein-coding	0.040000	0.572379	-116(GCGGGA,-,0.00)
NM_174849	chr5	30888552	30889152	+	0	NA	promoter-TSS (NM_001374737)	promoter-TSS (NM_001374737)	0	NM_174849	231093		NM_174849	ENSMUSG00000029165	Agbl5	9430057O19Rik|CCP5	ATP/GTP binding protein-like 5	protein-coding	0.080000	0.637271	-289(GCGGGA,-,0.00),-111(TCCCGC,+,0.00),194(GCGGGA,-,0.00),206(GCGGGA,-,0.00)
NM_028736	chr10	119819089	119819689	+	0	NA	promoter-TSS (NM_001277294)	promoter-TSS (NM_001277294)	0	NM_028736	74053		NM_028736	ENSMUSG00000034813	Grip1	4931400F03Rik|GRIP|eb	glutamate receptor interacting protein 1	protein-coding	0.028333	0.534110	
NM_172878	chr4	154837116	154837716	+	0	NA	promoter-TSS (NM_172878)	promoter-TSS (NM_172878)	0	NM_172878	242800		NM_172878	ENSMUSG00000046637	Ttc34	4932418L02|B230396O12Rik	tetratricopeptide repeat domain 34	protein-coding	0.010000	0.560732	
NM_021311	chr5	128735946	128736546	+	0	NA	promoter-TSS (NM_021311)	promoter-TSS (NM_021311)	0	NM_021311	57749		NM_021311	ENSMUSG00000029423	Piwil1	MIWI	piwi-like RNA-mediated gene silencing 1	protein-coding	0.046667	0.620632	
NM_175937	chr5	43232953	43233553	+	0	NA	promoter-TSS (NM_001177379)	promoter-TSS (NM_001177379)	0	NM_175937	231207		NM_175937	ENSMUSG00000039782	Cpeb2	A630055H10Rik|Cpe-bp2	cytoplasmic polyadenylation element binding protein 2	protein-coding	0.138333	0.737105	212(GCGGGA,-,0.00)
NM_153162	chr6	89643688	89644288	+	0	NA	promoter-TSS (NM_001178058)	promoter-TSS (NM_001178058)	0	NM_153162	232223		NM_153162	ENSMUSG00000000811	Txnrd3	TGR|TR2	thioredoxin reductase 3	protein-coding	0.090000	0.658902	
NM_011603	chr10	22731147	22731747	-	0	NA	promoter-TSS (NM_011603)	promoter-TSS (NM_011603)	0	NM_011603	237336		NM_011603	ENSMUSG00000071359	Tbpl1	4732475G08|STD|TLF|TRF2|TRP|Tlp	TATA box binding protein-like 1	protein-coding	0.088333	0.653910	199(GCGGGA,-,0.00)
NM_001081122	chr9	102625824	102626424	-	0	NA	promoter-TSS (NM_181394)	promoter-TSS (NM_181394)	0	NM_001081122	28135		NM_001081122	ENSMUSG00000032534	Cep63	4921501M07|AL450317.13gm1|CD20R|D9Mgc41|D9Mgc48e|ET2	centrosomal protein 63	protein-coding	0.123333	0.732113	-113(GCGGGA,-,0.00),233(GCGGGA,-,0.00)
NM_146009	chr10	100487282	100487882	+	0	NA	promoter-TSS (NM_001110013)	promoter-TSS (NM_001110013)	0	NM_146009	216274		NM_146009	ENSMUSG00000019971	Cep290	Nphp6|b2b1454Clo|b2b1752Clo	centrosomal protein 290	protein-coding	0.081667	0.638935	-287(TCCCGC,+,0.00),-240(TCCCGC,+,0.00),52(GCGGGA,-,0.00)
NM_029674	chr8	27202247	27202847	-	0	NA	promoter-TSS (NM_029674)	promoter-TSS (NM_029674)	0	NM_029674	76615		NM_029674	ENSMUSG00000039720	Got1l1	1700083M11Rik	glutamic-oxaloacetic transaminase 1-like 1	protein-coding	0.016667	0.505824	
NM_029660	chr7	107209145	107209745	+	0	NA	promoter-TSS (NM_029660)	promoter-TSS (NM_029660)	0	NM_029660	76572		NM_029660	ENSMUSG00000073894	Rbmxl2	1700012H05Rik|Hnrnpg-t	RNA binding motif protein, X-linked-like 2	protein-coding	0.093333	0.635607	-61(TCCCGC,+,0.00)
NM_029254	chr17	71551761	71552361	+	0	NA	promoter-TSS (NM_001142631)	promoter-TSS (NM_001142631)	0	NM_029254	70891		NM_029254	ENSMUSG00000052525	Spdya	4921517J08Rik|4930548B21Rik|GS4|MLZ-465|Spdy1	speedy/RINGO cell cycle regulator family, member A	protein-coding	0.111667	0.727121	-65(TCCCGC,+,0.00)
NM_207232	chr13	48625372	48625972	-	0	NA	promoter-TSS (NM_001301781)	promoter-TSS (NM_001301781)	0	NM_207232	218232		NM_207232	ENSMUSG00000038042	Ptpdc1	Naa-1|Ptpcd1	protein tyrosine phosphatase domain containing 1	protein-coding	0.131667	0.738769	136(GCGGGA,-,0.00)
NM_031374	chr8	33570244	33570844	+	0	NA	promoter-TSS (NM_031374)	promoter-TSS (NM_031374)	0	NM_031374	104271		NM_031374	ENSMUSG00000009628	Tex15	2210014E14Rik	testis expressed gene 15 meiosis and synapsis associated	protein-coding	0.001667	0.342762	
NM_028516	chr1	184033698	184034298	-	0	NA	promoter-TSS (NM_028516)	promoter-TSS (NM_028516)	0	NM_028516	73363		NM_028516	ENSMUSG00000044854	1700056E22Rik	-	RIKEN cDNA 1700056E22 gene	protein-coding	0.085000	0.647255	78(GCGGGA,-,0.00),170(TCCCGC,+,0.00)
NM_022311	chr17	13761103	13761703	-	0	NA	promoter-TSS (NM_022311)	promoter-TSS (NM_022311)	0	NM_022311	21646		NM_022311	ENSMUSG00000038347	Tcte2	Tcte-2	t-complex-associated testis expressed 2	ncRNA	0.118333	0.722130	-266(TCCCGC,+,0.00),-169(TCCCGC,+,0.00),59(TCCCGC,+,0.00)
NM_008978	chr14	33588970	33589570	+	0	NA	promoter-TSS (NM_008978)	promoter-TSS (NM_008978)	0	NM_008978	19256		NM_008978	ENSMUSG00000021940	Ptpn20	typ	protein tyrosine phosphatase, non-receptor type 20	protein-coding	0.038333	0.610649	177(GCGGGA,-,0.00)
NM_028902	chr17	32034208	32034808	-	0	NA	promoter-TSS (NM_028902)	promoter-TSS (NM_028902)	0	NM_028902	74377		NM_028902	ENSMUSG00000002076	Hsf2bp	4932437G14Rik|Meilb2	heat shock transcription factor 2 binding protein	protein-coding	0.050000	0.569052	-49(TCCCGC,+,0.00)
NM_028915	chr3	14533488	14534088	+	0	NA	promoter-TSS (NM_001163580)	promoter-TSS (NM_001163580)	0	NM_028915	71710		NM_028915	ENSMUSG00000027550	Lrrcc1	1200008A14Rik|4932441F23Rik	leucine rich repeat and coiled-coil domain containing 1	protein-coding	0.061667	0.545757	69(TCCCGC,+,0.00)
NM_008793	chr10	80329173	80329773	-	0	NA	promoter-TSS (NM_008793)	promoter-TSS (NM_008793)	0	NM_008793	18551		NM_008793	ENSMUSG00000020131	Pcsk4	NEC 3|NEC3|PC4|SPC5	proprotein convertase subtilisin/kexin type 4	protein-coding	0.030000	0.597338	
NM_011160	chr19	31664070	31664670	-	0	NA	promoter-TSS (NM_011160)	promoter-TSS (NM_011160)	0	NM_011160	19091		NM_011160	ENSMUSG00000052920	Prkg1	CGKI|Gm19690|Prkg1b|Prkgr1b	protein kinase, cGMP-dependent, type I	protein-coding	0.068333	0.630616	-231(TCCCGC,+,0.00),100(GCGGGA,-,0.00),148(GCGGGA,-,0.00)
NM_016964	chr5	138280209	138280809	+	0	NA	promoter-TSS (NM_016964)	promoter-TSS (NM_016964)	0	NM_016964	50878		NM_016964	ENSMUSG00000036928	Stag3	SA-2	STAG3 cohesin complex component	protein-coding	0.071667	0.572379	-2(TCCCGC,+,0.00)
NM_022979	chr7	102209866	102210466	-	0	NA	promoter-TSS (NM_001374617)	promoter-TSS (NM_001374617)	0	NM_022979	269966		NM_022979	ENSMUSG00000063550	Nup98	4732457F17|Nup96	nucleoporin 98	protein-coding	0.115000	0.698835	
NM_027724	chr13	38036637	38037237	-	0	NA	promoter-TSS (NM_024242)	promoter-TSS (NM_024242)	0	NM_027724	71213		NM_027724	ENSMUSG00000044566	Cage1	4933427I01Rik|Ctag3	cancer antigen 1	protein-coding	0.055000	0.524126	44(TCCCGC,+,0.00)
NM_021422	chr9	54699259	54699859	+	0	NA	promoter-TSS (NM_021422)	promoter-TSS (NM_021422)	0	NM_021422	58233		NM_021422	ENSMUSG00000032285	Dnaja4	1110021L12Rik|Dj4|Hsj4|mmDjA4	DnaJ heat shock protein family (Hsp40) member A4	protein-coding	0.128333	0.703827	
NM_181859	chr4	123115948	123116548	+	0	NA	promoter-TSS (NM_181859)	promoter-TSS (NM_181859)	0	NM_181859	353371		NM_181859	ENSMUSG00000076438	Oxct2b	Scot-t2	3-oxoacid CoA transferase 2B	protein-coding	0.058333	0.635607	150(GCGGGA,-,0.00)
NM_001081089	chr2	127424899	127425499	+	0	NA	promoter-TSS (NM_001081089)	promoter-TSS (NM_001081089)	0	NM_001081089	215456		NM_001081089	ENSMUSG00000046338	Gpat2	A530057A03Rik|Gm116|xGPAT1	glycerol-3-phosphate acyltransferase 2, mitochondrial	protein-coding	0.035000	0.592346	-1(GCGGGA,-,0.00)
NM_025610	chr19	9135266	9135866	-	0	NA	promoter-TSS (NM_025610)	promoter-TSS (NM_025610)	0	NM_025610	66514		NM_025610	ENSMUSG00000024654	Asrgl1	2410004D18Rik|ALP|ALP1	asparaginase like 1	protein-coding	0.058333	0.565724	-198(TCCCGC,+,0.00)
NM_027600	chr2	19553610	19554210	-	0	NA	promoter-TSS (NM_027600)	promoter-TSS (NM_027600)	0	NM_027600	70909		NM_027600	ENSMUSG00000026734	4921504E06Rik	4921522E24Rik	RIKEN cDNA 4921504E06 gene	protein-coding	0.048333	0.575707	
NM_173012	chr8	25597187	25597787	-	0	NA	promoter-TSS (NM_173012)	promoter-TSS (NM_173012)	0	NM_173012	270035		NM_173012	ENSMUSG00000037363	Letm2	6030453H13|D030041N04Rik	leucine zipper-EF-hand containing transmembrane protein 2	protein-coding	0.080000	0.660566	
NM_029469	chr16	17914727	17915327	-	0	NA	promoter-TSS (NM_029469)	promoter-TSS (NM_029469)	0	NM_029469	195333		NM_029469	ENSMUSG00000022738	Gsc2	4930568H22Rik|GSC-2|Gscl	goosecoid homebox 2	protein-coding	0.100000	0.677205	
NM_022033	chr4	123323379	123323979	-	0	NA	promoter-TSS (NM_022033)	promoter-TSS (NM_022033)	0	NM_022033	64059		NM_022033	ENSMUSG00000076436	Oxct2a	Oxct|Oxct2|Scot|Scot-t1	3-oxoacid CoA transferase 2A	protein-coding	0.053333	0.627288	202(GCGGGA,-,0.00)
NM_016808	chr9	44069129	44069729	+	0	NA	promoter-TSS (NM_016808)	promoter-TSS (NM_016808)	0	NM_016808	53376		NM_016808	ENSMUSG00000032010	Usp2	B930035K21Rik|Ubp41	ubiquitin specific peptidase 2	protein-coding	0.018333	0.547421	
NM_028034	chr7	35537444	35538044	-	0	NA	promoter-TSS (NM_028034)	promoter-TSS (NM_028034)	0	NM_028034	71981		NM_028034	ENSMUSG00000030491	Tdrd12	2410004F06Rik|2410070K17Rik|ECAT8|EG434165|G1-476-14|repro23	tudor domain containing 12	protein-coding	0.036667	0.590682	
NM_172519	chr9	64340157	64340757	-	0	NA	promoter-TSS (NM_172519)	promoter-TSS (NM_172519)	0	NM_172519	213550		NM_172519	ENSMUSG00000032396	Dis3l	-	DIS3 like exosome 3'-5' exoribonuclease	protein-coding	0.063333	0.627288	-257(GCGGGA,-,0.00),-234(GCGGGA,-,0.00)
NM_178386	chr3	40708571	40709171	+	0	NA	promoter-TSS (NM_178386)	promoter-TSS (NM_178386)	0	NM_178386	73333		NM_178386	ENSMUSG00000069041	Slc25a31	1700034J06Rik|Ant4|Sfec	solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 31	protein-coding	0.073333	0.603993	20(TCCCGC,+,0.00)
NM_015785	chr11	11462119	11462719	-	0	NA	promoter-TSS (NM_001185153)	promoter-TSS (NM_001185153)	0	NM_015785	53604		NM_015785	ENSMUSG00000020193	Zpbp	4930486K01Rik|Iam38|Sp38	zona pellucida binding protein	protein-coding	0.073333	0.595674	90(TCCCGC,+,0.00)
NM_009446	chr6	125285781	125286381	-	0	NA	promoter-TSS (NM_009446)	promoter-TSS (NM_009446)	0	NM_009446	22144		NM_009446	ENSMUSG00000067702	Tuba3a	M[a]3|Tuba3	tubulin, alpha 3A	protein-coding	0.053333	0.637271	-119(TCCCGC,+,0.00)
NM_011483	chr17	56512183	56512783	-	0	NA	promoter-TSS (NM_011483)	promoter-TSS (NM_011483)	0	NM_011483	20834		NM_011483	ENSMUSG00000044526	Znrf4	1700094M01Rik|Ssrzf1|spzn	zinc and ring finger 4	protein-coding	0.051667	0.592346	
NM_001001492	chr16	96191957	96192557	-	0	NA	promoter-TSS (NM_001001492)	promoter-TSS (NM_001001492)	0	NM_001001492	385668		NM_001001492	ENSMUSG00000045275	Lca5l	4921526F01Rik|Lcca5l	Leber congenital amaurosis 5-like	protein-coding	0.090000	0.660566	50(GCGGGA,-,0.00)
NM_031387	chr19	56825986	56826586	+	0	NA	promoter-TSS (NM_001002240)	promoter-TSS (NM_001002240)	0	NM_031387	83561		NM_031387	ENSMUSG00000025081	Tdrd1	MTR-1	tudor domain containing 1	protein-coding	0.076667	0.635607	
NM_001099277	chr7	16071545	16072145	+	0	NA	promoter-TSS (NM_001347559)	promoter-TSS (NM_001347559)	0	NM_001099277	666528		NM_001099277	ENSMUSG00000078796	Zfp541	EG666528|Znf541	zinc finger protein 541	protein-coding	0.015000	0.499168	
NM_019872	chr4	107683930	107684530	-	0	NA	promoter-TSS (NM_019872)	promoter-TSS (NM_019872)	0	NM_019872	56296		NM_019872	ENSMUSG00000028610	Dmrtb1	Dmrt6|Prp13	DMRT-like family B with proline-rich C-terminal, 1	protein-coding	0.036667	0.507488	-273(GCGGGA,-,0.00)
NM_134252	chr1	88306435	88307035	+	0	NA	promoter-TSS (NM_134252)	promoter-TSS (NM_134252)	0	NM_134252	171382		NM_134252	ENSMUSG00000036251	Trpm8	CMR1|LTRPC6|LTrpC-6|TRPP8|Trp-p8	transient receptor potential cation channel, subfamily M, member 8	protein-coding	0.006667	0.424293	
NM_008265	chr6	52191403	52192003	-	0	NA	promoter-TSS (NM_008265)	promoter-TSS (NM_008265)	0	NM_008265	15401		NM_008265	ENSMUSG00000000942	Hoxa4	Hox-1.4	homeobox A4	protein-coding	0.145000	0.747088	-152(GCGGGA,-,0.00)
NM_148926	chr17	30004739	30005339	+	0	NA	promoter-TSS (NM_001356265)	promoter-TSS (NM_001356265)	0	NM_148926	21769		NM_148926	ENSMUSG00000044477	Zfand3	TEG-27|Tex27	zinc finger, AN1-type domain 3	protein-coding	0.135000	0.795341	
NM_029597	chr8	121541654	121542254	-	0	NA	promoter-TSS (NM_029597)	promoter-TSS (NM_029597)	0	NM_029597	76405		NM_029597	ENSMUSG00000031809	1700018B08Rik	1700084O22Rik	RIKEN cDNA 1700018B08 gene	protein-coding	0.050000	0.602329	-28(GCGGGA,-,0.00)
NM_183262	chr2	129800217	129800817	+	0	NA	promoter-TSS (NM_001038635)	promoter-TSS (NM_001038635)	0	NM_183262	67333		NM_183262	ENSMUSG00000037885	Stk35	1700054C12Rik|CLIK1|Stk35l1	serine/threonine kinase 35	protein-coding	0.095000	0.638935	-104(GCGGGA,-,0.00),60(GCGGGA,-,0.00)
