PeakID (cmd=annotatePeaks.pl tss mm10 -list ../data/raw/KDM5C_unbound_allgerm_HOMER.txt -m E2F.motif -size -300,300)	Chr	Start	End	Strand	Not Used	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type	CpG%	GC%	E2F Distance From Peak(sequence,strand,conservation)
NM_025759	chr5	15618799	15619399	+	0	NA	promoter-TSS (NM_025759)	promoter-TSS (NM_025759)	0	NM_025759	360220		NM_025759	ENSMUSG00000070933	Speer4d	4933431D05Rik|SPEER-4D	spermatogenesis associated glutamate (E)-rich protein 4D	protein-coding	0.003333	0.475874	
NM_027733	chr18	35661886	35662486	-	0	NA	promoter-TSS (NM_027733)	promoter-TSS (NM_027733)	0	NM_027733	71242		NM_027733	ENSMUSG00000024352	Spata24	2700012K08Rik|4930583E11Rik|5133400G04Rik|TIPT|TIPT2	spermatogenesis associated 24	protein-coding	0.055000	0.603993	123(GCGGGA,-,0.00)
NM_001033206	chr7	139248182	139248782	+	0	NA	promoter-TSS (NM_001033206)	promoter-TSS (NM_001033206)	0	NM_001033206	101631		NM_001033206	ENSMUSG00000060260	Pwwp2b	D7Ertd517e|D930023J19Rik|Pwwp2	PWWP domain containing 2B	protein-coding	0.123333	0.720466	29(GCGGGA,-,0.00)
NM_026459	chr8	21970296	21970896	+	0	NA	promoter-TSS (NM_026459)	promoter-TSS (NM_026459)	0	NM_026459	67929		NM_026459	ENSMUSG00000017049	Ccdc70	1700112P19Rik	coiled-coil domain containing 70	protein-coding	0.005000	0.404326	
NR_030763	chr17	13521156	13521756	+	0	NA	promoter-TSS (NR_030763)	promoter-TSS (NR_030763)	0	NR_030763	272667		NR_030763	ENSMUSG00000121414	Smok4a	4930513D10Rik|Smok2c	sperm motility kinase 4A	pseudo	0.008333	0.480865	
NM_001081063	chr14	64085110	64085710	-	0	NA	promoter-TSS (NM_001081063)	promoter-TSS (NM_001081063)	0	NM_001081063	71037		NM_001081063	ENSMUSG00000034623	Prss55	4933401F05Rik	serine protease 55	protein-coding	0.006667	0.512479	
NM_027602	chr5	66260541	66261141	+	0	NA	promoter-TSS (NM_027602)	promoter-TSS (NM_027602)	0	NM_027602	70918		NM_027602	ENSMUSG00000029206	Nsun7	4921525L17Rik	NOL1/NOP2/Sun domain family, member 7	protein-coding	0.026667	0.484193	
NR_029556	chr11	78072705	78073305	+	0	NA	promoter-TSS (NR_029556)	promoter-TSS (NR_029556)	0	NR_029556	387162		NR_029556	ENSMUSG00000065401	Mir144	Mirn144|mir-144|mmu-mir-144	microRNA 144	ncRNA	0.011667	0.542429	
NM_025778	chr6	134396029	134396629	+	0	NA	promoter-TSS (NM_025778)	promoter-TSS (NM_025778)	0	NM_025778	66813		NM_025778	ENSMUSG00000030200	Bcl2l14	4930452K23Rik|4933405K19Rik|9030625M01Rik|Bcl-G|Bclg	BCL2 like 14	protein-coding	0.010000	0.450915	
NM_026683	chr1	155557820	155558420	+	0	NA	promoter-TSS (NM_026683)	promoter-TSS (NM_026683)	0	NM_026683	72482		NM_026683	ENSMUSG00000033701	Acbd6	0610010G04Rik|2610100E10Rik	acyl-Coenzyme A binding domain containing 6	protein-coding	0.078333	0.622296	-40(TCCCGC,+,0.00),115(TCCCGC,+,0.00)
NM_175488	chr10	93540332	93540932	+	0	NA	promoter-TSS (NM_175488)	promoter-TSS (NM_175488)	0	NM_175488	237465		NM_175488	ENSMUSG00000036168	Ccdc38	4933417K05Rik	coiled-coil domain containing 38	protein-coding	0.031667	0.544093	
NM_028142	chr4	116053511	116054111	-	0	NA	promoter-TSS (NM_028142)	promoter-TSS (NM_028142)	0	NM_028142	72181		NM_028142	ENSMUSG00000028706	Nsun4	2310010O12Rik|2810405F18Rik|Shtap	NOL1/NOP2/Sun domain family, member 4	protein-coding	0.055000	0.554077	96(TCCCGC,+,0.00)
NM_027053	chr7	101933557	101934157	-	0	NA	promoter-TSS (NM_001162974)	promoter-TSS (NM_001162974)	0	NM_027053	69358		NM_027053	ENSMUSG00000064307	Lrrc51	1700008D07Rik|Lrtomt	leucine rich repeat containing 51	protein-coding	0.060000	0.540765	-224(TCCCGC,+,0.00),267(GCGGGA,-,0.00)
NR_029445	chr5	26493014	26493614	-	0	NA	promoter-TSS (NR_029445)	promoter-TSS (NR_029445)	0	NR_029445	75942		NR_029445	ENSMUSG00000029044	4930584F24Rik	1700001J09Rik|4930522C06Rik	RIKEN cDNA 4930584F24 gene	ncRNA	0.001667	0.464226	
NM_013754	chr19	29325018	29325618	-	0	NA	promoter-TSS (NM_013754)	promoter-TSS (NM_013754)	0	NM_013754	27356		NM_013754	ENSMUSG00000050957	Insl6	RIF1	insulin-like 6	protein-coding	0.045000	0.564060	
NM_020330	chr12	81568174	81568774	-	0	NA	promoter-TSS (NM_020330)	promoter-TSS (NM_020330)	0	NM_020330	56622		NM_020330	ENSMUSG00000008438	Adam21	Adam31	a disintegrin and metallopeptidase domain 21	protein-coding	0.005000	0.366057	
NR_029433	chr7	116092849	116093449	-	0	NA	promoter-TSS (NM_019772)	promoter-TSS (NM_019772)	0	NR_029433	69350		NR_029433	ENSMUSG00000087621	1700003G18Rik	2610312K03Rik	RIKEN cDNA 1700003G18 gene	ncRNA	0.058333	0.537438	-25(GCGGGA,-,0.00)
NM_029309	chr2	36049173	36049773	+	0	NA	promoter-TSS (NM_029309)	promoter-TSS (NM_029309)	0	NM_029309	75495		NM_029309	ENSMUSG00000026894	Morn5	1700010A17Rik	MORN repeat containing 5	protein-coding	0.051667	0.547421	
NM_029453	chr1	175698293	175698893	+	0	NA	promoter-TSS (NM_029453)	promoter-TSS (NM_029453)	0	NM_029453	75820		NM_029453	ENSMUSG00000026523	Wdr64	4930415O10Rik|4930511H01Rik	WD repeat domain 64	protein-coding	0.010000	0.455907	
NR_030541	chrX	66780533	66781133	-	0	NA	promoter-TSS (NR_030531)	promoter-TSS (NR_030531)	0	NR_030541	100124462		NR_030541	ENSMUSG00000078017	Mir883a	Mirn883a|mir-883a	microRNA 883a	ncRNA	0.016667	0.367720	
NM_011487	chr1	52007940	52008540	+	0	NA	promoter-TSS (NM_011487)	promoter-TSS (NM_011487)	0	NM_011487	20849		NM_011487	ENSMUSG00000062939	Stat4	-	signal transducer and activator of transcription 4	protein-coding	0.011667	0.472546	
NM_001039220	chr8	36993275	36993875	+	0	NA	promoter-TSS (NM_001039220)	promoter-TSS (NM_001039220)	0	NM_001039220	621080		NM_001039220	ENSMUSG00000074384	AI429214	-	expressed sequence AI429214	protein-coding	0.038333	0.517471	-65(GCGGGA,-,0.00)
NM_027660	chr11	63061359	63061959	+	0	NA	promoter-TSS (NM_027660)	promoter-TSS (NM_027660)	0	NM_027660	71062		NM_027660	ENSMUSG00000042189	Tekt3	4933407G07Rik	tektin 3	protein-coding	0.031667	0.549085	154(GCGGGA,-,0.00)
NM_028506	chr4	119383534	119384134	-	0	NA	promoter-TSS (NM_028698)	promoter-TSS (NM_028698)	0	NM_028506	73332		NM_028506	ENSMUSG00000028637	Ccdc30	1700001O02Rik|1700041C02Rik|1700111D19Rik|4930445I03Rik	coiled-coil domain containing 30	protein-coding	0.016667	0.500832	
NM_016845	chr6	125049627	125050227	+	0	NA	promoter-TSS (NR_130997)	promoter-TSS (NR_130997)	0	NM_016845	54137		NM_016845	ENSMUSG00000072770	Acrbp	OY-TES-1|sp32	proacrosin binding protein	protein-coding	0.040000	0.560732	
NM_028384	chr9	121839161	121839761	-	0	NA	promoter-TSS (NM_028384)	promoter-TSS (NM_028384)	0	NM_028384	100502861		NM_028384	ENSMUSG00000079235	Ccdc13	2900041A11Rik|Gm188	coiled-coil domain containing 13	protein-coding	0.076667	0.600666	75(GCGGGA,-,0.00),162(GCGGGA,-,0.00),247(GCGGGA,-,0.00)
NM_207268	chr19	4839066	4839666	+	0	NA	promoter-TSS (NM_207268)	promoter-TSS (NM_207268)	0	NM_207268	399599		NM_207268	ENSMUSG00000067872	Ccdc87	4931419P11Rik	coiled-coil domain containing 87	protein-coding	0.060000	0.599002	258(TCCCGC,+,0.00)
NM_020487	chr17	23867772	23868372	+	0	NA	promoter-TSS (NM_020487)	promoter-TSS (NM_020487)	0	NM_020487	57256		NM_020487	ENSMUSG00000024116	Prss21	1700023E12Rik|TESP5|mT4|testisin	serine protease 21	protein-coding	0.038333	0.584027	
NM_175006	chr13	18381739	18382339	-	0	NA	promoter-TSS (NM_175006)	promoter-TSS (NM_175006)	0	NM_175006	218030		NM_175006	ENSMUSG00000009734	Pou6f2	D130006K24Rik|RPF-1	POU domain, class 6, transcription factor 2	protein-coding	0.000000	0.372712	
NM_025851	chr17	8988033	8988633	+	0	NA	promoter-TSS (NM_001347544)	promoter-TSS (NM_001347544)	0	NM_025851	66931		NM_025851	ENSMUSG00000023873	1700010I14Rik	-	RIKEN cDNA 1700010I14 gene	protein-coding	0.021667	0.527454	
NM_011635	chrX	139333383	139333983	+	0	NA	promoter-TSS (NM_011635)	promoter-TSS (NM_011635)	0	NM_011635	22037		NM_011635	ENSMUSG00000051257	Trap1a	Tra-P1A	tumor rejection antigen P1A	protein-coding	0.031667	0.487521	
NM_001114754	chrX	26935369	26935969	-	0	NA	promoter-TSS (NM_001114754)	promoter-TSS (NM_001114754)	0	NM_001114754	619991		NM_001114754	ENSMUSG00000080725	Gm6121	-	predicted gene 6121	protein-coding	0.011667	0.460899	
NM_146248	chr17	35516749	35517349	+	0	NA	promoter-TSS (NM_001163764)	promoter-TSS (NM_001163764)	0	NM_146248	240084		NM_146248	ENSMUSG00000040312	Cchcr1	Hcr	coiled-coil alpha-helical rod protein 1	protein-coding	0.090000	0.660566	-284(TCCCGC,+,0.00),-276(TCCCGC,+,0.00),-68(TCCCGC,+,0.00),212(GCGGGA,-,0.00)
NM_001163271	chr12	64474598	64475198	-	0	NA	promoter-TSS (NM_001163271)	promoter-TSS (NM_001163271)	0	NM_001163271	623046		NM_001163271	ENSMUSG00000043060	Fscb	EG623046	fibrous sheath CABYR binding protein	protein-coding	0.001667	0.341098	
NM_001163609	chr18	14705851	14706451	+	0	NA	promoter-TSS (NM_001360823)	promoter-TSS (NM_001360823)	0	NM_001163609	73677		NM_001163609	ENSMUSG00000036743	Psma8	2410072D24Rik	proteasome subunit alpha 8	protein-coding	0.040000	0.525790	
NM_178671	chr4	138724965	138725565	-	0	NA	promoter-TSS (NM_008868)	promoter-TSS (NM_008868)	0	NM_178671	212190		NM_178671	ENSMUSG00000043621	Ubxn10	5730509E04Rik|A830047D02|Ubxd3	UBX domain protein 10	protein-coding	0.028333	0.642263	
NM_021611	chr5	136692846	136693446	+	0	NA	promoter-TSS (NM_001303021)	promoter-TSS (NM_001303021)	0	NM_021611	59310		NM_021611	ENSMUSG00000005474	Myl10	1700027I08Rik|Mylc2pl|PLRLC	myosin, light chain 10, regulatory	protein-coding	0.018333	0.509151	
NM_001038995	chr12	81379186	81379786	-	0	NA	promoter-TSS (NM_001038995)	promoter-TSS (NM_001038995)	0	NM_001038995	214321		NM_001038995	ENSMUSG00000072974	Gm4787	Adam4b|EG214321	predicted gene 4787	protein-coding	0.005000	0.442596	
NM_001040136	chr7	120670043	120670643	-	0	NA	promoter-TSS (NM_001040136)	promoter-TSS (NM_001040136)	0	NM_001040136	67983		NM_001040136	ENSMUSG00000030887	Pdzd9	4930408O21Rik	PDZ domain containing 9	protein-coding	0.021667	0.500832	
NM_173433	chr9	14500182	14500782	-	0	NA	promoter-TSS (NM_023153)	promoter-TSS (NM_023153)	0	NM_173433	244694		NM_173433	ENSMUSG00000053914	Kdm4d	4932416A15|Jmjd2d	lysine (K)-specific demethylase 4D	protein-coding	0.066667	0.550749	
NM_029685	chr10	87057746	87058346	+	0	NA	promoter-TSS (NM_029685)	promoter-TSS (NM_029685)	0	NM_029685	76640		NM_029685	ENSMUSG00000047129	1700113H08Rik	-	RIKEN cDNA 1700113H08 gene	protein-coding	0.031667	0.560732	
NM_177867	chr4	141088045	141088645	+	0	NA	promoter-TSS (NM_177867)	promoter-TSS (NM_177867)	0	NM_177867	329972		NM_177867	ENSMUSG00000045004	Spata21	4933414G08	spermatogenesis associated 21	protein-coding	0.015000	0.564060	
NM_028526	chr14	69840107	69840707	+	0	NA	promoter-TSS (NM_028526)	promoter-TSS (NM_028526)	0	NM_028526	73523		NM_028526	ENSMUSG00000022085	Pebp4	PEBP-4	phosphatidylethanolamine binding protein 4	protein-coding	0.016667	0.464226	
NM_177859	chr3	108739358	108739958	+	0	NA	promoter-TSS (NM_177859)	promoter-TSS (NM_177859)	0	NM_177859	329738		NM_177859	ENSMUSG00000049565	Aknad1	4921525H12Rik	AKNA domain containing 1	protein-coding	0.011667	0.419301	
NM_001033155	chr3	137867375	137867975	+	0	NA	promoter-TSS (NM_001033155)	promoter-TSS (NM_001033155)	0	NM_001033155	70604		NM_001033155	ENSMUSG00000074212	Dnajb14	5730496F10Rik	DnaJ heat shock protein family (Hsp40) member B14	protein-coding	0.130000	0.752080	
NR_029747	chr4	88910362	88910962	-	0	NA	promoter-TSS (NR_029747)	promoter-TSS (NR_029747)	0	NR_029747	723895		NR_029747	ENSMUSG00000065408	Mir31	Mirn31|miR-31|mmu-mir-31	microRNA 31	ncRNA	0.015000	0.452579	277(TCCCGC,+,0.00)
NR_030147	chrX	66798997	66799597	-	0	NA	promoter-TSS (NR_030147)	promoter-TSS (NR_030147)	0	NR_030147	723887		NR_030147	ENSMUSG00000070078	Mir463	Mirn463|mir-463|mmu-mir-463	microRNA 463	ncRNA	0.003333	0.351082	
NM_027964	chr2	83940926	83941526	-	0	NA	promoter-TSS (NM_027964)	promoter-TSS (NM_027964)	0	NM_027964	71861		NM_027964	ENSMUSG00000034552	Zswim2	1700025P14Rik|4933437F18Rik|MEX	zinc finger SWIM-type containing 2	protein-coding	0.036667	0.527454	270(GCGGGA,-,0.00)
NM_028529	chr4	52988984	52989584	+	0	NA	promoter-TSS (NM_028529)	promoter-TSS (NM_028529)	0	NM_028529	73398		NM_028529	ENSMUSG00000015242	Nipsnap3a	1700054F22Rik	nipsnap homolog 3A	protein-coding	0.030000	0.559068	-147(GCGGGA,-,0.00)
NM_027046	chr16	50590854	50591454	-	0	NA	promoter-TSS (NM_027046)	promoter-TSS (NM_027046)	0	NM_027046	69339		NM_027046	ENSMUSG00000050685	Ccdc54	1700007N18Rik|NYD-SP17	coiled-coil domain containing 54	protein-coding	0.008333	0.399334	
NM_053155	chr12	104864776	104865376	-	0	NA	promoter-TSS (NM_001040682)	promoter-TSS (NM_001040682)	0	NM_053155	94040		NM_053155	ENSMUSG00000021097	Clmn	9330188N17Rik|mKIAA1188	calmin	protein-coding	0.113333	0.733777	-102(TCCCGC,+,0.00),-77(TCCCGC,+,0.00)
NM_011571	chr4	43441977	43442577	+	0	NA	promoter-TSS (NM_011571)	promoter-TSS (NM_011571)	0	NM_011571	21754		NM_011571	ENSMUSG00000028458	Tesk1	-	testis specific protein kinase 1	protein-coding	0.063333	0.597338	
NM_207210	chr6	126921539	126922139	-	0	NA	promoter-TSS (NM_207210)	promoter-TSS (NM_207210)	0	NM_207210	101320		NM_207210	ENSMUSG00000030345	Dyrk4	Dyrk4a|Dyrk4b	dual-specificity tyrosine phosphorylation regulated kinase 4	protein-coding	0.030000	0.530782	291(TCCCGC,+,0.00)
NM_023790	chr6	83156079	83156679	-	0	NA	promoter-TSS (NM_023790)	promoter-TSS (NM_023790)	0	NM_023790	75659		NM_023790	ENSMUSG00000030032	Wdr54	1700030E05Rik	WD repeat domain 54	protein-coding	0.061667	0.592346	228(GCGGGA,-,0.00)
NM_001081254	chr15	99286880	99287480	-	0	NA	promoter-TSS (NM_001081254)	promoter-TSS (NM_001081254)	0	NM_001081254	545136		NM_001081254	ENSMUSG00000078907	Fam186b	EG545136	family with sequence similarity 186, member B	protein-coding	0.013333	0.474210	
NM_027072	chr18	42196409	42197009	-	0	NA	promoter-TSS (NM_027072)	promoter-TSS (NM_027072)	0	NM_027072	69401		NM_027072	ENSMUSG00000059455	Plac8l1	1700009N18Rik|1700015M15Rik	PLAC8-like 1	protein-coding	0.003333	0.444260	
NM_001033246	chr8	45934319	45934919	+	0	NA	promoter-TSS (NM_001033246)	promoter-TSS (NM_001033246)	0	NM_001033246	212392		NM_001033246	ENSMUSG00000071104	Ccdc110	Gm172	coiled-coil domain containing 110	protein-coding	0.035000	0.499168	274(GCGGGA,-,0.00)
NM_001040669	chrX	25301155	25301755	-	0	NA	promoter-TSS (NM_001040669)	promoter-TSS (NM_001040669)	0	NM_001040669	382277		NM_001040669	ENSMUSG00000096620	Gm5169	Xmr	predicted gene 5169	protein-coding	0.013333	0.465890	
NM_021482	chr7	45896411	45897011	-	0	NA	promoter-TSS (NM_001291064)	promoter-TSS (NM_001291064)	0	NM_021482	58867		NM_021482	ENSMUSG00000040231	Syngr4	1700016O14Rik	synaptogyrin 4	protein-coding	0.058333	0.547421	-45(GCGGGA,-,0.00),-2(GCGGGA,-,0.00)
NM_026668	chr3	30644187	30644787	+	0	NA	promoter-TSS (NM_026668)	promoter-TSS (NM_026668)	0	NM_026668	68307		NM_026668	ENSMUSG00000027703	Lrriq4	4930558O21Rik	leucine-rich repeats and IQ motif containing 4	protein-coding	0.005000	0.460899	
NM_025749	chr18	52615615	52616215	+	0	NA	promoter-TSS (NM_001360984)	promoter-TSS (NM_001360984)	0	NM_025749	66758		NM_025749	ENSMUSG00000046886	Zfp474	4933409D10Rik|Znf474	zinc finger protein 474	protein-coding	0.018333	0.512479	
NM_001081435	chr11	97883854	97884454	-	0	NA	promoter-TSS (NM_001081435)	promoter-TSS (NM_001081435)	0	NM_001081435	72973		NM_001081435	ENSMUSG00000070336	Fbxo47	2900052P03Rik|Gm1562	F-box protein 47	protein-coding	0.056667	0.525790	-36(TCCCGC,+,0.00),86(GCGGGA,-,0.00)
NM_008863	chr10	57631681	57632281	+	0	NA	promoter-TSS (NM_008863)	promoter-TSS (NM_008863)	0	NM_008863	18768		NM_008863	ENSMUSG00000019876	Pkib	Pkibeta|Prkacn2	protein kinase inhibitor beta, cAMP dependent, testis specific	protein-coding	0.053333	0.599002	44(GCGGGA,-,0.00)
NR_030268	chr3	127545433	127546033	+	0	NA	promoter-TSS (NR_030268)	promoter-TSS (NR_030268)	0	NR_030268	723911		NR_030268	ENSMUSG00000065413	Mir367	Mirn367|mir-367|mmu-mir-367	microRNA 367	ncRNA	0.008333	0.412646	
NM_001177377	chrX	64151898	64152498	-	0	NA	promoter-TSS (NM_001177377)	promoter-TSS (NM_001177377)	0	NM_001177377	627470		NM_001177377	ENSMUSG00000079579	Gm6760	EG627470	predicted gene 6760	protein-coding	0.006667	0.452579	
NM_027438	chr12	84148189	84148789	-	0	NA	promoter-TSS (NM_027438)	promoter-TSS (NM_027438)	0	NM_027438	70481		NM_027438	ENSMUSG00000054383	Pnma1	5730402C15Rik	paraneoplastic antigen MA1	protein-coding	0.080000	0.603993	18(GCGGGA,-,0.00),227(TCCCGC,+,0.00)
NM_172497	chr17	53463021	53463621	-	0	NA	promoter-TSS (NM_172497)	promoter-TSS (NM_172497)	0	NM_172497	211482		NM_172497	ENSMUSG00000023931	Efhb	4921525D22Rik	EF hand domain family, member B	protein-coding	0.033333	0.505824	
NM_019468	chr5	61808543	61809143	+	0	NA	promoter-TSS (NM_019468)	promoter-TSS (NM_019468)	0	NM_019468	14380		NM_019468	ENSMUSG00000089992	G6pd2	G6pdx-ps1|Gpd-2|Gpd2	glucose-6-phosphate dehydrogenase 2	protein-coding	0.008333	0.399334	
NM_001008547	chr5	146185004	146185604	-	0	NA	promoter-TSS (NM_001008547)	promoter-TSS (NM_001008547)	0	NM_001008547	69282		NM_001008547	ENSMUSG00000095040	1700001J03Rik	-	RIKEN cDNA 1700001J03 gene	protein-coding	0.015000	0.515807	
NM_001099688	chr11	72314144	72314744	+	0	NA	promoter-TSS (NM_001099688)	promoter-TSS (NM_001099688)	0	NM_001099688	628100		NM_001099688	ENSMUSG00000070388	Fbxo39	1700010H23Rik	F-box protein 39	protein-coding	0.066667	0.642263	
NM_177901	chr8	87563607	87564207	+	0	NA	promoter-TSS (NM_177901)	promoter-TSS (NM_177901)	0	NM_177901	330820		NM_177901	ENSMUSG00000069971	4933402J07Rik	-	RIKEN cDNA 4933402J07 gene	protein-coding	0.013333	0.479201	
NM_027584	chr1	98420824	98421424	+	0	NA	promoter-TSS (NM_001164233)	promoter-TSS (NM_001164233)	0	NM_027584	70866		NM_027584	ENSMUSG00000026336	Slco6d1	4921511I05Rik	solute carrier organic anion transporter family, member 6d1	protein-coding	0.021667	0.440932	
NM_028848	chr1	187215146	187215746	-	0	NA	promoter-TSS (NM_029067)	promoter-TSS (NM_029067)	0	NM_028848	74717		NM_028848	ENSMUSG00000026611	Spata17	1700065F16Rik|4930504I07Rik|4930513F16Rik|MSRG-11	spermatogenesis associated 17	protein-coding	0.075000	0.589018	-123(TCCCGC,+,0.00)
NM_144537	chr6	30610710	30611310	+	0	NA	promoter-TSS (NM_144537)	promoter-TSS (NM_144537)	0	NM_144537	74649		NM_144537	ENSMUSG00000029788	Cpa5	4930430M09Rik	carboxypeptidase A5	protein-coding	0.013333	0.414309	-83(GCGGGA,-,0.00)
NM_023729	chr6	18108761	18109361	-	0	NA	promoter-TSS (NM_023729)	promoter-TSS (NM_023729)	0	NM_023729	74068		NM_023729	ENSMUSG00000010796	Asz1	4933400N19Rik|Gasz|ORF3	ankyrin repeat, SAM and basic leucine zipper domain containing 1	protein-coding	0.050000	0.544093	
NM_023597	chr4	62470599	62471199	-	0	NA	promoter-TSS (NM_001355523)	promoter-TSS (NM_001355523)	0	NM_023597	71354		NM_023597	ENSMUSG00000028391	Wdr31	5430402I10Rik|spWD	WD repeat domain 31	protein-coding	0.060000	0.557404	-27(TCCCGC,+,0.00),15(GCGGGA,-,0.00)
NM_177742	chr8	43141186	43141786	-	0	NA	promoter-TSS (NM_177742)	promoter-TSS (NM_177742)	0	NM_177742	244448		NM_177742	ENSMUSG00000031651	Triml1	4933403D14	tripartite motif family-like 1	protein-coding	0.005000	0.442596	
NM_025732	chr5	143894767	143895367	-	0	NA	promoter-TSS (NM_001310772)	promoter-TSS (NM_001310772)	0	NM_025732	66729		NM_025732	ENSMUSG00000029607	Ankrd61	4921520G13Rik	ankyrin repeat domain 61	protein-coding	0.015000	0.464226	
NM_027651	chr16	57292551	57293151	-	0	NA	promoter-TSS (NM_027651)	promoter-TSS (NM_027651)	0	NM_027651	71027		NM_027651	ENSMUSG00000022753	Tmem30c	4933401B01Rik|4933409A18Rik|Cdc50c	transmembrane protein 30C	protein-coding	0.008333	0.427621	
NM_207228	chr1	37864782	37865382	-	0	NA	promoter-TSS (NM_207228)	promoter-TSS (NM_207228)	0	NM_207228	211484		NM_207228	ENSMUSG00000060771	Tsga10	4933432N21Rik|Gm217|Mtsga10	testis specific 10	protein-coding	0.118333	0.723794	106(TCCCGC,+,0.00),117(TCCCGC,+,0.00),168(GCGGGA,-,0.00),200(GCGGGA,-,0.00),252(TCCCGC,+,0.00)
NM_176980	chr1	72700264	72700864	-	0	NA	promoter-TSS (NM_176980)	promoter-TSS (NM_176980)	0	NM_176980	319695		NM_176980	ENSMUSG00000039342	Ankar	4932422E22Rik	ankyrin and armadillo repeat containing	protein-coding	0.021667	0.514143	
NM_029310	chr3	10300883	10301483	-	0	NA	promoter-TSS (NM_029310)	promoter-TSS (NM_029310)	0	NM_029310	75497		NM_029310	ENSMUSG00000027530	Fabp12	1700008G05Rik	fatty acid binding protein 12	protein-coding	0.028333	0.517471	
NM_031172	chr11	58963481	58964081	+	0	NA	promoter-TSS (NM_031172)	promoter-TSS (NM_031172)	0	NM_031172	56631		NM_031172	ENSMUSG00000036964	Trim17	Rnf16|terf	tripartite motif-containing 17	protein-coding	0.033333	0.567388	
NM_029772	chr13	55784279	55784879	+	0	NA	promoter-TSS (NM_001252488)	promoter-TSS (NM_001252488)	0	NM_029772	76856		NM_029772	ENSMUSG00000021499	Catsper3	4921522D01Rik|CACRC	cation channel, sperm associated 3	protein-coding	0.010000	0.484193	
NM_177195	chr4	43266859	43267459	+	0	NA	promoter-TSS (NM_177195)	promoter-TSS (NM_177195)	0	NM_177195	320571		NM_177195	ENSMUSG00000028457	Atp8b5	4930417M19Rik|Feta	ATPase, class I, type 8B, member 5	protein-coding	0.031667	0.514143	-47(GCGGGA,-,0.00)
NM_008757	chr15	38218903	38219503	+	0	NA	promoter-TSS (NM_008757)	promoter-TSS (NM_008757)	0	NM_008757	18285		NM_008757	ENSMUSG00000061923	Odf1	-	outer dense fiber of sperm tails 1	protein-coding	0.006667	0.460899	
NR_033784	chr9	57174975	57175575	+	0	NA	promoter-TSS (NR_033784)	promoter-TSS (NR_033784)	0	NR_033784	67319		NR_033784	ENSMUSG00000100282	1700041C23Rik	-	RIKEN cDNA 1700041C23 gene	ncRNA	0.001667	0.377704	
NM_010352	chr6	135254036	135254636	-	0	NA	promoter-TSS (NM_001080553)	promoter-TSS (NM_001080553)	0	NM_010352	14840		NM_010352	ENSMUSG00000030206	Gsg1	-	germ cell associated 1	protein-coding	0.011667	0.500832	
NM_028525	chr14	64104023	64104623	+	0	NA	promoter-TSS (NR_046192)	promoter-TSS (NR_046192)	0	NM_028525	73382		NM_028525	ENSMUSG00000021966	Prss52	1700049K14Rik|Tesp3	serine protease 52	protein-coding	0.006667	0.525790	
NM_001004061	chr18	50278069	50278669	+	0	NA	promoter-TSS (NM_001357517)	promoter-TSS (NM_001357517)	0	NM_001004061	225497		NM_001004061	ENSMUSG00000035420	Fam170a	Gm93|Znfd	family with sequence similarity 170, member A	protein-coding	0.013333	0.417637	
NR_033566	chr4	141614070	141614670	+	0	NA	promoter-TSS (NR_033566)	promoter-TSS (NR_033566)	0	NR_033566	100165		NR_033566	ENSMUSG00000073731	AI507597	-	expressed sequence AI507597	ncRNA	0.021667	0.584027	
NM_144528	chr10	79766652	79767252	-	0	NA	promoter-TSS (NR_027505)	promoter-TSS (NR_027505)	0	NM_144528	70294		NM_144528	ENSMUSG00000035890	Rnf126	2610010O19Rik	ring finger protein 126	protein-coding	0.116667	0.700499	211(GCGGGA,-,0.00)
NM_025725	chr5	36484288	36484888	+	0	NA	promoter-TSS (NM_001170454)	promoter-TSS (NM_001170454)	0	NM_025725	66717		NM_025725	ENSMUSG00000050677	Ccdc96	4921513E08Rik	coiled-coil domain containing 96	protein-coding	0.110000	0.677205	-223(TCCCGC,+,0.00),222(GCGGGA,-,0.00)
NM_027103	chr8	116978659	116979259	-	0	NA	promoter-TSS (NM_027103)	promoter-TSS (NM_027103)	0	NM_027103	69528		NM_027103	ENSMUSG00000031847	1700030J22Rik	-	RIKEN cDNA 1700030J22 gene	protein-coding	0.076667	0.637271	
NM_026097	chr11	82828743	82829343	-	0	NA	promoter-TSS (NM_026097)	promoter-TSS (NM_026097)	0	NM_026097	67338		NM_026097	ENSMUSG00000020696	Rffl	1700051E09Rik|4930516L10Rik|Carp2	ring finger and FYVE like domain containing protein	protein-coding	0.008333	0.427621	
NM_009174	chr3	58692088	58692688	-	0	NA	promoter-TSS (NM_009174)	promoter-TSS (NM_009174)	0	NM_009174	20439		NM_009174	ENSMUSG00000036432	Siah2	Sinh2	siah E3 ubiquitin protein ligase 2	protein-coding	0.121667	0.710483	-197(TCCCGC,+,0.00),-180(TCCCGC,+,0.00)
